CustomerID,Segment,SignupDate,LastPurchase,TotalSpend,Active
C001,Cafe,2023-04-12,2025-10-18,8400.00,true
C002,Grocery,2022-11-30,2025-11-02,26500.00,true
C003,Online,2024-02-14,2024-12-05,1150.00,false
C004,Cafe,2023-08-21,2025-09-27,7250.00,true
C005,Grocery,2022-06-09,2025-03-16,31200.00,false
C006,Online,2024-05-03,2025-11-10,2300.00,true
C007,Cafe,2023-01-25,2025-10-30,9800.00,true
C008,Grocery,2023-09-14,2025-08-22,24700.00,false
C009,Online,2024-07-19,2025-02-11,880.00,false
C010,Cafe,2022-12-05,2025-11-15,6900.00,true
C011,Grocery,2023-03-27,2025-10-06,28900.00,true
C012,Online,2024-01-08,2025-11-19,1950.00,true
C013,Cafe,2022-08-16,2025-05-29,5600.00,false
C014,Grocery,2024-04-02,2025-09-13,22400.00,true
C015,Online,2023-10-11,2025-01-24,1420.00,false
C016,Cafe,2023-06-28,2025-11-07,10300.00,true
C017,Grocery,2022-09-19,2025-04-08,27800.00,false
C018,Online,2024-03-15,2025-10-25,2760.00,true
