timestamp,cpu_percent,mem_percent,disk_percent,net_mbps
2024-01-01 00:00:00,79.4054,87.9176,29.4645,405.7140
2024-01-01 00:01:00,58.8466,21.5253,29.4073,293.3510
2024-01-01 00:02:00,8.0544,26.9080,29.7328,19.9938
2024-01-01 00:03:00,22.0378,45.5314,29.9021,115.1679
2024-01-01 00:04:00,5.7291,55.3132,30.3124,1.2715
2024-01-01 00:05:00,32.1308,54.9383,30.7079,133.4178
2024-01-01 00:06:00,11.7105,50.2937,30.6152,29.7777
2024-01-01 00:07:00,31.8313,84.1147,30.7535,116.1846
2024-01-01 00:08:00,37.6626,74.5724,31.0452,219.6972
2024-01-01 00:09:00,57.4525,63.8828,30.7088,337.9266
2024-01-01 00:10:00,32.7198,41.0233,30.5575,144.8586
2024-01-01 00:11:00,93.2670,39.3968,30.4757,306.4561
2024-01-01 00:12:00,8.7971,82.4525,30.4837,8.9736
2024-01-01 00:13:00,56.1677,70.4884,30.3992,205.3789
2024-01-01 00:14:00,8.0495,33.7246,30.2909,29.5357
2024-01-01 00:15:00,10.9901,30.9725,30.3395,28.3582
2024-01-01 00:16:00,71.2051,38.7963,30.1750,276.6846
2024-01-01 00:17:00,73.9456,58.9313,30.5048,413.6742
2024-01-01 00:18:00,8.6444,65.8445,30.5391,65.9698
2024-01-01 00:19:00,65.6762,34.1333,30.9959,333.0521
2024-01-01 00:20:00,28.8093,49.6249,30.9618,102.2504
2024-01-01 00:21:00,91.0461,35.8098,30.5078,437.9124
2024-01-01 00:22:00,12.6472,35.2226,30.9437,73.0630
2024-01-01 00:23:00,46.4638,69.9210,31.0955,189.8202
2024-01-01 00:24:00,35.1277,31.1889,31.3080,156.0763
2024-01-01 00:25:00,76.7911,17.6750,31.2324,331.5550
2024-01-01 00:26:00,81.2203,47.2907,30.8870,452.1283
2024-01-01 00:27:00,31.0132,33.6355,31.0290,92.8568
2024-01-01 00:28:00,24.9321,15.3481,31.3591,90.3279
2024-01-01 00:29:00,37.9968,82.0345,31.3730,167.1443
2024-01-01 00:30:00,38.5783,14.9119,31.6200,147.5619
2024-01-01 00:31:00,94.4672,75.8197,32.1013,502.3175
2024-01-01 00:32:00,93.6362,81.7366,31.9536,510.6734
2024-01-01 00:33:00,79.0315,57.8620,32.1649,292.6517
2024-01-01 00:34:00,11.7372,61.4589,31.9352,0.0000
2024-01-01 00:35:00,10.2192,55.4846,31.7693,65.8452
2024-01-01 00:36:00,87.7753,50.0220,31.3931,363.1282
2024-01-01 00:37:00,46.1975,65.8791,31.2180,279.9183
2024-01-01 00:38:00,42.9408,58.4303,31.6275,223.4552
