timestamp,cpu_percent,mem_percent,disk_percent,net_mbps
2024-01-01 00:00:00,31.8404,70.5190,29.9936,147.1624
2024-01-01 00:01:00,5.3896,81.0425,29.7788,1.7149
2024-01-01 00:02:00,84.7447,35.3766,29.8312,294.2510
2024-01-01 00:03:00,85.2962,26.7697,30.3165,499.3010
2024-01-01 00:04:00,56.9304,83.3261,30.1082,238.5316
2024-01-01 00:05:00,91.3664,81.5703,30.5729,489.2267
2024-01-01 00:06:00,81.9944,32.7879,30.5608,295.2624
2024-01-01 00:07:00,40.6793,49.4872,30.3855,181.7808
2024-01-01 00:08:00,18.2427,34.5763,30.4483,91.1559
2024-01-01 00:09:00,21.2506,34.0415,30.9393,100.2937
2024-01-01 00:10:00,81.9094,75.4966,31.1228,487.6454
2024-01-01 00:11:00,23.1111,35.8416,30.6686,76.2125
2024-01-01 00:12:00,63.4092,69.6269,30.5776,301.8479
2024-01-01 00:13:00,11.5075,68.9694,30.7742,70.9890
2024-01-01 00:14:00,13.6110,65.9915,30.4707,70.2398
2024-01-01 00:15:00,34.3065,26.2875,29.9706,88.3897
2024-01-01 00:16:00,29.0696,36.6154,30.3306,142.7575
2024-01-01 00:17:00,8.4780,72.9521,29.9208,52.6496
2024-01-01 00:18:00,15.3671,20.7493,29.7899,98.6629
2024-01-01 00:19:00,34.9424,66.0192,29.4623,144.4742
2024-01-01 00:20:00,15.3053,26.6096,28.9892,102.8923
2024-01-01 00:21:00,54.9247,66.7276,28.6351,235.4587
2024-01-01 00:22:00,60.9560,58.2201,28.1929,292.2740
2024-01-01 00:23:00,34.4155,70.5783,27.9365,177.0393
2024-01-01 00:24:00,11.6601,87.6257,27.4037,76.5605
2024-01-01 00:25:00,46.8629,59.9039,26.7928,155.8538
2024-01-01 00:26:00,6.7812,28.4163,26.9114,3.1889
2024-01-01 00:27:00,14.1331,14.1087,27.1653,106.2585
2024-01-01 00:28:00,91.8109,40.3611,27.2080,540.9838
2024-01-01 00:29:00,46.5557,84.0000,26.8135,294.4432
2024-01-01 00:30:00,57.5171,44.2339,27.3806,343.0642
2024-01-01 00:31:00,64.4400,71.8632,27.5805,307.1630
2024-01-01 00:32:00,16.1621,39.5458,27.6298,77.6721
2024-01-01 00:33:00,51.8176,56.2585,27.7260,164.1955
2024-01-01 00:34:00,27.7657,77.2510,27.8176,128.4823
2024-01-01 00:35:00,29.6018,18.2444,27.8877,138.0687
2024-01-01 00:36:00,87.0144,83.0187,27.8800,413.6593
2024-01-01 00:37:00,30.8979,18.7593,27.9775,122.7804
2024-01-01 00:38:00,79.6931,67.4040,27.7083,375.5779
2024-01-01 00:39:00,19.8233,50.4978,27.8169,109.2355
2024-01-01 00:40:00,85.8570,33.0849,28.7889,370.4331
2024-01-01 00:41:00,51.7856,77.3609,28.8939,245.9181
2024-01-01 00:42:00,29.5299,51.5447,29.1986,151.7785
2024-01-01 00:43:00,38.1912,49.1387,29.5339,182.9829
2024-01-01 00:44:00,59.8807,39.2891,29.7475,284.8936
2024-01-01 00:45:00,24.6402,13.6821,30.3101,108.5538
2024-01-01 00:46:00,10.9015,46.2848,31.2012,58.0471
2024-01-01 00:47:00,64.4083,55.6190,31.8552,352.5858
2024-01-01 00:48:00,87.5865,57.1841,31.6383,328.6500
2024-01-01 00:49:00,59.4754,89.5865,31.8170,201.3076
2024-01-01 00:50:00,61.8727,85.9656,32.0791,324.2338
2024-01-01 00:51:00,30.2839,54.4726,32.0010,96.4981
