timestamp,cpu_percent,mem_percent,disk_percent,net_mbps
2024-01-01 00:00:00,74.3046,89.3992,30.5997,248.3475
2024-01-01 00:01:00,7.8652,44.5274,30.0245,40.5143
2024-01-01 00:02:00,84.1802,81.1881,29.5102,326.6821
2024-01-01 00:03:00,19.6451,10.0105,29.4547,80.3587
2024-01-01 00:04:00,63.0695,53.2986,29.8755,184.1140
2024-01-01 00:05:00,83.0051,89.8596,29.9090,501.4105
2024-01-01 00:06:00,48.0213,26.1010,29.9084,179.5280
2024-01-01 00:07:00,61.5552,89.6412,29.7101,382.0716
2024-01-01 00:08:00,53.1899,21.3714,29.6122,161.7642
2024-01-01 00:09:00,63.9554,39.4778,29.2171,260.4980
2024-01-01 00:10:00,88.1290,62.0768,28.9270,277.4687
2024-01-01 00:11:00,57.7354,33.9835,29.1245,228.1259
2024-01-01 00:12:00,69.3916,41.8756,28.9029,360.3776
2024-01-01 00:13:00,74.6732,39.4194,28.3316,287.7425
2024-01-01 00:14:00,79.5256,39.2529,28.4688,466.4999
2024-01-01 00:15:00,10.6609,13.5929,28.3723,41.9611
2024-01-01 00:16:00,45.4013,62.3204,28.6211,178.8215
2024-01-01 00:17:00,68.6069,37.2396,28.6422,278.6891
2024-01-01 00:18:00,40.9669,62.2021,27.9586,196.5407
2024-01-01 00:19:00,92.8517,30.8051,27.6219,588.7179
2024-01-01 00:20:00,88.5655,77.3291,27.3926,442.2747
2024-01-01 00:21:00,62.2472,72.3602,27.1024,292.3896
2024-01-01 00:22:00,40.6093,53.8316,26.4675,229.6425
2024-01-01 00:23:00,80.6067,25.0992,26.4854,469.7802
2024-01-01 00:24:00,86.8779,80.2307,26.0918,396.7116
2024-01-01 00:25:00,88.6432,80.9384,25.7472,355.9968
2024-01-01 00:26:00,86.4797,17.0508,25.3913,344.8496
2024-01-01 00:27:00,44.0878,61.8101,25.6227,229.2708
2024-01-01 00:28:00,69.8036,40.2277,25.8799,262.5632
2024-01-01 00:29:00,79.6900,18.3999,25.7266,268.0716
2024-01-01 00:30:00,81.3512,36.6154,25.3833,290.2452
2024-01-01 00:31:00,89.8445,71.2585,26.0057,485.1613
2024-01-01 00:32:00,33.1294,53.2644,26.3097,172.8197
2024-01-01 00:33:00,43.3475,30.3456,26.6086,162.7599
2024-01-01 00:34:00,85.3265,33.3094,26.5015,402.2605
2024-01-01 00:35:00,71.9233,25.1920,26.7722,363.0211
