alpha,beta,gamma,delta,epsilon
22.5418,46.0139,40.813,59.1005,93.7379
33.8577,52.7711,54.3218,54.3887,72.6359
30.9083,30.8011,60.3557,54.4061,72.3026
29.8288,32.0197,58.1827,63.3254,98.5219
38.5744,38.7711,80.3667,70.0502,68.5845
20.0937,31.9107,42.7377,61.7938,63.8194
22.547,40.8415,51.194,62.9185,60.1929
30.053,36.5815,45.7164,57.0866,76.9471
38.1823,44.712,46.5107,55.7718,83.066
25.5674,51.1596,51.8703,52.0509,68.7718
21.9002,34.267,63.8585,51.2002,73.4044
26.5879,48.6441,76.2772,67.3399,83.9279
35.9196,38.5349,47.4277,66.9564,74.6356
36.2382,40.8695,59.0986,58.6886,83.1764
25.0042,51.1298,70.8688,69.5031,86.9686
31.274,51.4516,53.4886,77.6184,62.1625
21.7755,32.7025,42.5476,53.6631,66.4781
33.1113,32.2965,58.2253,61.0828,80.9539
23.6137,40.9358,53.8543,60.8968,65.312
29.0004,43.5263,52.0156,83.6748,68.2836
21.0224,30.3769,55.5194,57.5315,64.0737
42.1698,31.8129,42.1604,68.518,82.7802
42.3944,38.309,58.4865,55.6974,82.1881
33.5458,47.3078,41.3975,70.7521,60.0438
30.3327,35.3398,55.0313,62.6893,69.2592
25.1085,40.4717,44.898,68.1018,67.06
22.3918,41.8779,41.8453,67.0274,69.1811
29.2288,48.8874,60.4143,80.3604,79.0786
34.821,51.0686,50.5312,63.4593,66.6218
29.4482,39.8059,63.2954,56.099,70.9267
28.5642,47.6017,49.668,54.9185,62.244
28.4321,45.318,57.5586,62.2736,77.7596
32.9402,35.1088,47.8133,52.1053,68.6973
26.5735,42.5257,61.5031,65.352,66.6127
21.3604,40.184,47.26,84.9606,69.2037
20.8862,35.4004,45.4349,66.8195,65.444
24.9147,39.2618,42.162,58.8794,63.5111
21.9514,36.6699,49.0577,55.1099,68.3774
27.2633,49.156,48.542,52.2138,67.5529
20.1963,35.6299,42.2978,65.5416,86.5438
24.815,31.6176,43.2084,70.1619,60.9388
25.3943,33.8819,59.4158,52.6364,83.5523
26.2112,44.623,41.335,58.2321,63.5944
21.2381,42.0505,40.3621,73.2251,85.0454
24.0578,44.6193,44.4802,53.3288,67.146
29.6729,46.7342,72.8076,57.1422,70.0096
32.2041,41.5485,40.405,56.9107,60.9808
21.5699,38.224,42.5554,59.7506,61.8074
21.4214,41.9393,40.5039,61.7747,84.4618
25.7103,55.3054,74.5225,52.6354,62.6133
23.2762,52.4723,45.2518,52.4306,68.9713
32.9206,35.8794,58.0597,74.9339,73.7216
23.6135,32.5082,44.5249,60.6989,61.5325
25.2221,36.7473,51.51,80.2037,96.1925
27.0052,37.0493,45.0622,55.3284,60.3041
25.8068,43.8994,43.4183,61.0711,75.3799
26.4906,35.802,46.2172,56.5565,84.8788
24.9671,41.3579,43.0039,56.6287,100.3287
25.2262,36.8148,45.0294,52.7649,75.6714
33.0802,40.5084,49.6566,58.0796,65.7005
22.9091,38.6363,49.4595,64.4868,66.9674
30.315,35.6578,50.3104,88.1634,62.6565
22.257,38.8135,49.7709,73.2976,64.3099
26.2251,45.6146,60.1254,57.7577,60.1535
20.0152,43.286,54.9471,56.7951,94.2438
26.0702,47.4632,49.2943,50.708,62.0558
33.231,41.8698,44.2866,64.3282,65.2416
29.6907,47.2911,43.558,62.0213,60.4717
21.2662,38.3381,54.9065,57.9706,64.0816
20.1705,34.0659,44.5001,58.5024,77.7524
36.6371,52.9403,57.7772,65.9673,66.1827
32.5985,54.3775,43.3499,62.8771,81.9176
27.9152,40.687,46.2104,54.9347,62.0896
32.1253,38.4562,52.9435,64.6827,71.2483
36.0136,45.226,46.3361,80.166,67.8237
30.949,30.999,40.7951,59.948,94.5569
38.1265,36.0168,46.4812,59.5934,69.4143
31.6577,39.083,59.6075,62.7735,69.3218
23.0547,51.3276,51.9224,61.867,76.1585
24.104,45.5758,55.8393,65.0324,70.3582
23.0264,44.7436,51.0135,56.9694,86.9894
32.3346,35.462,44.1659,61.0883,72.6499
27.7437,49.8571,42.1719,70.3447,61.0086
26.1443,47.8884,40.0233,60.4083,78.2661
20.0812,34.432,43.7735,75.2662,77.8539
21.1247,35.2329,60.8833,54.6181,86.3566
23.6539,30.7773,62.3872,60.5538,80.0394
20.929,45.3145,58.3607,55.4977,94.6993
23.6943,55.8677,46.205,50.0628,75.308
20.4148,46.1538,46.3669,74.1478,64.2463
31.4893,37.542,46.8913,82.4976,77.533
22.8695,43.9041,46.3886,59.3682,66.8215
21.1089,39.8622,64.6678,56.3814,86.9272
24.2007,32.1762,42.0295,60.4659,75.6431
41.4679,44.2092,55.307,51.5157,80.0037
27.0594,32.541,42.413,60.781,68.9536
24.5023,40.7246,47.1102,69.3714,72.1939
29.2245,30.3482,69.2248,92.8633,98.0215
26.3885,30.4263,54.8143,60.2972,94.3659
30.5126,38.6453,63.7559,66.4959,82.318
20.8534,50.5789,46.4901,56.7221,69.7096
31.092,33.0969,45.1909,75.4306,65.4532
30.2616,44.0363,54.2788,55.4734,79.1574
21.4629,30.7951,57.2949,67.3485,76.5441
25.1853,47.1407,41.0516,59.5371,67.5498
30.4106,47.1356,58.3935,72.3789,67.8532
20.62,30.897,56.6898,79.6706,66.9461
29.728,38.5355,40.5387,52.9146,76.462
32.5835,30.9773,44.3732,63.7866,67.2401
20.8566,39.9021,49.9048,57.5236,61.416
34.3367,49.5361,52.004,62.0104,62.2694
39.0729,45.0711,43.2112,58.0385,77.1391
28.1256,39.1335,47.7147,79.8513,88.1762
24.7739,38.726,45.2898,62.5345,84.9752
23.4623,48.3129,52.9057,51.1848,63.5785
22.4477,46.6274,62.5716,51.18,68.7866
33.3081,46.54,41.8351,85.2633,64.1304
40.3457,44.3315,61.3927,57.0133,94.2332
34.4534,35.641,59.2675,61.8405,75.7159
33.9907,34.8683,44.9482,55.4858,97.022
27.5607,58.2554,51.9299,69.1326,61.1481
37.9385,34.1272,49.5843,101.4809,63.5396
35.4555,42.8356,60.7975,63.4705,60.6506
27.993,39.1454,41.1664,75.2961,82.6297
20.3954,41.5091,40.3383,55.4381,68.168
23.024,34.2614,48.2874,63.8047,64.0202
28.507,30.0922,51.8413,68.6706,66.0852
25.652,41.0487,69.9664,55.5978,77.0758
33.7223,37.4553,54.4604,51.3076,81.3302
25.6132,38.6232,72.2238,76.0206,71.5948
32.2547,46.3251,61.3238,50.3628,97.9143
34.374,30.089,78.9445,58.3995,76.5752
24.9584,46.1177,54.4835,53.9828,78.0514
27.4448,31.3157,61.0805,56.1924,70.3775
42.2651,58.6984,49.6678,60.8849,62.723
31.4747,32.5568,43.7511,59.8986,70.0567
28.0273,41.3537,75.4859,56.9357,73.8384
26.0646,38.647,41.2215,50.3964,73.9089
21.4215,35.3449,59.026,51.3836,66.7066
20.2797,39.4606,46.7641,63.3945,101.6062
21.2386,54.3551,45.5738,65.3698,66.1143
32.9137,63.919,40.3954,70.9178,78.8866
44.9809,34.1548,56.8017,71.5445,71.1545
38.1115,52.0134,53.6599,62.5311,87.7996
20.2999,34.5884,48.0913,59.3388,72.1783
20.978,38.2962,46.3832,62.5437,85.7182
29.0673,38.042,64.5509,59.7109,74.1689
24.2596,40.9689,57.5178,70.6743,80.3528
21.619,41.5721,48.9796,79.733,70.4668
33.987,63.1799,57.8866,58.7836,73.9359
23.3641,47.2227,48.2951,55.7741,64.8856
28.6955,35.1771,70.9633,72.0988,71.8708
25.1103,31.3599,41.4756,59.4006,73.4953
31.4008,42.3329,42.0157,69.7898,74.1361
33.2335,46.5978,49.5734,65.0224,76.1798
22.7358,34.7788,46.9733,64.0567,71.3223
20.518,32.026,55.0676,65.6642,84.6159
24.3999,52.5717,48.4045,55.6105,86.2265
24.9752,33.027,52.4543,60.6655,83.5026
