alpha,beta,gamma,delta,epsilon
21.4593,97.2455,64.4857,40.5634,90.4037
88.1186,10.6496,42.2547,88.9995,96.1957
91.9167,83.2579,74.5088,46.755,88.369
90.296,77.5903,42.3057,105.7991,74.062
16.0451,67.4582,79.4568,76.1509,87.3961
16.0579,42.4404,49.6342,70.2934,66.7371
36.2431,93.658,59.4394,37.1293,103.223
76.3716,47.2209,42.0693,93.301,61.7312
20.3792,100.1208,75.019,101.7461,58.9174
62.2167,97.3747,48.9984,36.9064,66.9449
9.7892,51.2152,69.6583,92.9608,88.9046
21.945,19.9091,86.2396,103.4451,71.3756
86.7861,35.5043,31.1384,52.5492,107.7302
73.156,78.2395,59.085,78.4068,67.2407
22.8078,74.8426,95.8892,32.8555,64.3428
30.5181,54.8001,100.3479,63.2561,97.4698
35.6335,95.4606,75.3511,33.2034,86.1282
29.7295,93.4033,86.0269,43.3633,78.4037
49.8183,33.8216,98.6049,51.1453,57.1408
79.4657,38.1365,57.0114,76.6706,46.8171
24.719,27.0657,52.4153,62.1606,103.5024
85.4825,85.7818,41.7138,92.5404,79.3243
59.7094,77.7691,97.4661,75.9515,93.5294
81.5378,15.8018,42.8397,61.9949,87.4642
29.7129,10.8347,98.7952,101.9674,66.0791
63.0549,56.8172,44.5045,33.2932,98.8025
42.4906,69.4771,59.1878,84.1264,71.7552
38.6634,44.4712,85.8538,89.0142,74.677
60.4346,59.5321,62.5103,94.8225,49.3517
91.5662,43.1619,34.6282,77.1063,84.4872
29.6849,70.4845,89.0694,31.0017,43.605
80.1876,32.5171,47.7129,84.3467,63.9253
12.8596,10.388,47.0912,45.0225,106.101
34.5433,37.5722,93.7914,86.8677,79.0827
67.1895,23.5711,69.982,45.2309,103.0005
63.7721,60.2088,37.512,76.2709,87.8799
79.5264,73.4287,23.5212,41.8385,101.6383
29.9323,41.2243,80.5294,74.9757,48.4846
34.2158,32.9671,89.4885,77.5044,73.9484
93.4054,81.7472,102.5408,53.8554,56.3962
90.0453,70.7965,49.1208,66.86,79.6498
12.7212,93.4098,87.3639,72.2267,104.0223
75.1735,80.0932,73.397,67.6346,95.1306
28.8911,14.6848,34.1646,56.3716,86.1211
40.3983,19.7618,21.2651,65.3453,104.7452
37.5524,49.9986,36.6963,99.1594,71.7771
61.3615,91.9594,24.6723,40.0902,57.8758
23.1432,75.3033,69.9175,65.8123,101.9412
4.1352,16.1409,95.1809,98.062,104.5159
36.8704,18.9729,74.0596,54.0736,62.4604
82.0215,22.9822,103.5117,73.1244,51.0122
96.5238,45.6204,23.6228,71.0705,45.599
43.0992,55.0913,36.5322,61.9441,63.925
21.9342,59.9419,61.8658,65.0025,105.4797
6.3491,42.1668,88.4643,71.2739,48.0661
38.8724,53.4681,60.2457,30.2336,85.2339
56.5501,85.7584,79.3324,47.7973,62.4261
42.2229,68.309,42.1033,86.1584,85.5057
85.0167,22.2489,73.1844,92.5936,87.7485
84.0208,11.7132,93.5103,32.4544,96.7864
1.3102,44.3453,93.9176,60.3959,85.5616
69.3327,91.3292,58.9653,79.811,53.2737
6.0001,96.8822,103.6097,99.8807,86.0084
48.9967,32.3924,29.3879,69.0483,59.2142
25.4298,89.8076,96.6337,42.5034,51.8752
53.928,98.2336,85.3218,84.1351,42.3141
40.8504,16.536,40.5883,55.9676,40.1671
13.6412,84.9745,48.9143,43.0203,90.1084
56.4222,96.2237,62.5502,45.9513,100.2888
94.141,19.7158,81.2809,56.191,96.2714
67.5208,74.7479,69.7826,85.2824,50.7718
24.5536,70.3513,36.2834,50.6874,87.5976
9.4337,87.9351,102.2291,85.171,95.5521
13.2166,77.3448,92.321,54.7678,100.0353
48.6168,41.7582,31.9401,72.8695,87.5992
16.2006,32.8497,74.143,65.1963,62.7862
34.5893,28.5095,59.8781,81.6761,41.4732
20.6543,82.3431,69.6491,58.5823,45.6894
16.8831,99.6279,24.6411,62.4021,58.2859
2.099,94.2258,90.4737,78.5583,49.7122
87.7977,74.4705,53.5784,88.5696,72.6333
7.7931,59.447,68.8519,62.5196,67.7119
54.7602,60.6626,56.5447,68.4515,46.1133
73.3733,50.1883,97.1206,44.0783,100.8635
24.4367,86.3219,37.6138,58.3195,92.6151
31.2031,62.2885,68.3268,33.0807,90.9232
0.1777,28.8393,94.9303,55.0144,92.371
40.4505,23.1452,93.2272,53.1057,107.9569
48.0856,20.177,51.8464,76.6863,59.6964
22.7168,18.5067,67.1683,98.2279,56.1875
75.3216,65.1634,82.7447,54.0927,67.5065
99.9772,74.8588,89.2618,104.5996,58.5538
62.6845,77.3287,101.6575,43.6849,89.2458
13.5033,64.2789,27.5868,83.864,52.1573
83.2138,100.7934,59.0501,73.3221,41.2114
23.2548,91.8797,45.1669,72.7623,73.1997
78.2287,14.8948,78.8518,49.7722,65.9813
19.4635,58.462,25.7108,92.9924,61.5205
44.4207,72.6669,23.0947,87.2676,70.0787
88.5049,23.1455,74.6218,39.2655,79.0896
51.7166,15.3642,61.8618,91.883,73.9968
3.3604,47.7394,80.1994,53.845,56.365
93.0652,36.8245,34.281,48.0724,85.7552
91.0267,31.9208,74.9039,64.1561,53.5583
29.6533,93.482,34.6217,45.3666,62.566
25.9093,35.553,36.8009,87.669,80.4338
34.6693,47.5084,44.8914,32.4224,62.4707
69.4925,35.7041,78.1174,100.1303,81.9324
6.486,98.4582,59.177,85.7721,101.6234
42.8344,97.7988,73.3418,88.7207,45.7793
