alpha,beta,gamma,delta,epsilon
100.0864,139.976,184.8736,100.3351,10.5249
106.8838,112.1484,81.1222,153.9408,186.9396
95.2011,44.4119,106.7681,201.8781,99.6529
139.762,139.5045,76.2422,170.6292,123.8158
101.6148,88.5002,126.1894,135.0538,186.9396
93.9861,90.5795,115.8945,210.3797,124.21
94.1709,113.5857,169.9626,145.9775,173.0889
87.5304,97.3811,108.6971,133.2144,131.7987
97.419,100.2934,120.6884,105.4925,121.4733
65.5804,128.4599,109.3897,132.3989,98.2394
84.6284,36.517,194.6382,153.1908,156.7856
120.9379,75.7383,110.4051,151.4619,121.2178
92.9774,139.9959,149.3365,111.9885,112.176
116.9385,68.9654,100.1434,216.4631,138.0265
127.8842,56.367,108.4722,150.0725,147.2331
117.6634,134.3238,103.4827,97.4274,87.2841
78.7391,138.7768,107.8092,42.5263,185.1701
100.2224,100.5678,125.4559,127.3137,113.3148
87.8876,109.4539,84.4469,120.7096,119.2229
115.0744,106.729,195.2161,161.6342,154.3449
92.7337,106.616,118.46,173.4514,177.5326
158.5358,89.2664,78.3975,122.1724,170.9454
88.5272,154.6441,125.5007,180.944,132.8338
139.9236,130.0462,101.0552,107.6957,105.851
79.6459,96.7333,69.893,168.3012,114.0982
140.165,105.6877,98.4479,107.9203,98.2687
127.4927,78.801,103.3332,151.6081,112.2973
77.7926,159.9448,112.977,102.7478,144.7626
164.2639,67.5621,114.8001,97.8041,122.8827
105.8874,95.8258,135.2388,126.8249,144.4136
39.461,122.3192,104.5923,91.317,134.0952
113.4266,113.4734,105.8723,137.2782,138.4122
86.6482,75.6407,142.6797,191.6388,178.8806
98.2292,59.0463,100.2692,134.0475,136.0118
82.2862,98.7259,169.1064,92.0942,105.2361
51.6465,114.5166,39.511,140.5421,177.5012
131.4733,86.8272,142.2767,163.9022,122.8131
119.3987,179.7452,60.2419,147.9393,180.5125
122.1608,134.7044,178.1519,142.7924,126.1797
90.8081,98.0218,74.8522,132.1729,90.1854
110.6632,73.2159,128.8351,170.8963,147.5583
88.5652,138.8812,95.204,128.8824,141.3932
64.2928,76.12,70.0743,191.5902,131.4476
136.3591,106.4699,111.8119,160.6357,234.0254
64.6637,58.1453,68.3539,129.7327,148.8764
81.8688,88.2875,98.0714,103.8072,173.9974
72.8789,83.3047,112.4624,204.3252,178.0677
111.0206,72.8669,141.7703,105.7554,217.1032
87.2798,65.9555,70.851,63.9517,203.0246
139.8367,117.4901,129.6294,185.425,85.122
105.2653,78.4332,66.119,91.3722,186.1419
48.3675,61.1776,125.003,43.351,166.3068
101.5274,82.6008,140.6398,129.108,122.5394
119.5657,107.6966,69.2673,69.6269,143.4023
77.5653,117.7356,134.2249,147.8279,63.4927
94.34,164.2446,64.7044,198.1804,101.3931
56.9203,130.8639,146.343,96.4332,96.3064
90.8739,25.9546,41.6358,202.7547,90.5235
35.4811,108.3216,64.5928,155.5626,116.545
114.4483,115.0566,123.2035,102.2926,116.8711
85.1026,99.9208,145.435,123.3635,149.1855
99.3271,154.5598,113.1948,114.1418,142.2039
57.2548,56.1052,134.1513,61.4195,179.9539
121.4866,129.2592,102.8096,156.3364,174.2905
79.8648,76.8877,161.1773,157.915,148.2065
139.9812,97.3487,107.4453,94.5552,179.1036
130.5035,89.0108,126.9461,188.1139,54.3716
74.2776,101.0665,91.1422,111.0636,170.2984
78.6118,125.2352,101.3782,104.7086,164.1159
141.9488,119.7485,85.6437,175.9819,148.2245
61.2166,92.904,147.0736,111.6354,161.9771
81.6347,131.2176,140.1837,209.0056,141.1774
96.6081,39.0099,93.3346,126.5924,108.5787
76.2137,126.1984,120.1362,128.8149,134.2726
106.1397,121.9172,94.92,125.0468,127.7311
89.0489,81.0062,147.0949,140.4374,148.4117
50.4435,159.6874,155.7096,152.5484,144.1021
71.348,100.8201,125.9144,151.4502,133.1546
72.2619,70.335,97.5038,149.947,100.7896
145.2072,183.0482,165.7483,90.6958,126.2563
107.8653,171.8391,124.0184,79.9748,203.1141
102.0851,60.5325,43.1274,82.6942,202.4611
99.8751,138.8462,110.0244,147.8513,146.4722
113.5867,152.3168,135.4762,193.6576,167.1373
79.4418,70.5114,158.2036,98.9551,168.2093
126.6538,85.0652,98.6937,178.7794,122.8545
130.8341,109.4069,160.4566,126.3599,85.8588
136.6135,115.4631,139.1352,118.0427,154.0065
123.8103,149.6512,110.9037,135.1746,142.854
89.7278,96.081,211.4126,130.6926,143.5976
83.7374,90.94,170.2716,136.7387,232.915
105.4406,131.7521,123.0614,178.9601,179.8293
67.3035,90.0205,166.9143,146.0532,84.0543
69.6849,83.5919,80.5532,135.9945,171.5509
129.5186,102.6371,128.6367,189.2108,78.5405
122.2143,125.2468,69.2668,131.4923,183.9084
127.2886,109.7976,153.3326,91.5643,101.7346
85.7262,104.6468,177.9973,163.5659,93.7386
121.6643,164.1847,92.5862,123.2624,96.6394
75.8268,112.4099,137.1048,99.8334,148.3967
78.6057,140.5863,151.6196,126.3648,111.1195
64.9552,127.8375,157.1342,162.5203,159.7458
97.6962,125.4278,123.3387,123.9288,170.2166
95.1697,122.8537,177.1202,145.688,146.181
99.1303,75.9245,149.1188,143.9354,95.6667
87.5207,92.3461,158.6261,189.1802,123.2346
125.6136,137.5503,60.6242,137.6632,223.4776
43.9109,117.5965,65.2628,83.5197,161.2036
102.7037,166.7803,123.203,121.6531,178.2972
149.6526,120.0305,70.7695,91.0943,101.9995
35.2131,123.9922,168.7714,137.8258,171.2828
119.6283,62.504,128.8872,143.6661,179.0432
176.3838,67.4515,119.369,112.5812,257.7156
115.2121,80.3197,48.6539,112.6087,141.0856
117.3576,131.8717,103.7983,83.6885,104.8144
51.873,105.3467,103.1976,84.8562,132.5327
96.6199,130.013,89.2933,124.7276,64.9433
69.0398,119.7568,78.1538,103.077,27.1167
102.2973,111.441,75.6369,67.3831,140.1735
75.68,115.5556,192.5196,177.1624,186.8815
102.4304,121.7114,85.7906,70.5437,85.3283
128.3583,55.7449,138.8177,180.85,174.8079
99.3956,124.8923,106.8134,136.5804,108.4994
95.1123,68.8012,125.4167,232.9637,172.1764
147.1278,144.434,127.3923,99.9022,108.0892
117.3978,132.4576,131.5291,154.9799,134.9698
76.6119,104.9549,137.0102,119.7244,129.7449
111.3156,111.7674,97.3908,108.15,190.5552
33.1924,93.0432,181.5353,141.2212,173.0304
89.2714,110.9332,128.7298,161.6463,132.1679
121.6986,183.422,145.3301,158.2105,143.2516
52.6416,95.3081,138.9021,168.9901,113.1977
68.7766,74.7803,130.9057,120.3875,131.5793
81.1231,69.2008,203.9525,131.0931,155.1457
130.4873,25.3274,117.9762,114.2277,141.2118
92.0084,94.5146,78.453,194.836,165.4032
91.2133,136.2783,162.6881,154.6617,144.9022
67.9005,134.2303,123.6538,134.6258,140.4888
129.6764,121.9207,90.8689,126.0807,105.8337
110.5287,43.5113,126.3131,121.967,153.087
113.1391,113.4292,126.8867,170.4149,133.975
53.9585,156.6651,95.5476,101.7246,152.0722
127.1928,133.1093,96.9041,133.741,139.5681
114.6456,145.4452,121.0698,95.6532,187.431
98.6525,125.8421,144.042,144.3747,126.8606
90.2497,124.2444,118.9583,84.8142,141.7465
144.7585,113.4021,125.0746,113.0544,122.2368
126.9009,169.8237,57.7438,101.3916,144.1677
59.0083,146.4365,134.531,84.9404,111.7885
54.7547,104.3067,61.1322,122.7262,123.3308
89.2973,131.9402,88.6247,124.6308,153.485
153.8784,121.2239,164.0653,104.7392,147.1447
102.94,98.244,133.0079,34.4048,173.2675
52.6286,49.9144,117.8067,111.0454,212.8258
114.7403,95.2734,138.9887,101.3601,141.5709
124.0004,127.8045,130.9512,111.3725,173.3527
69.0386,105.7812,143.169,154.8836,189.9509
110.9063,66.3878,139.3308,92.6917,192.7406
84.5945,93.4403,75.7709,75.7849,189.3979
24.6828,149.4381,165.2971,109.4324,155.2005
82.6027,125.5529,141.95,128.752,103.4448
117.0559,131.8528,100.5307,128.6395,145.3519
94.8648,162.7303,82.1413,147.9717,151.8223
117.8061,89.1677,79.7157,120.8475,156.6369
104.1577,141.7735,121.8134,158.42,75.9097
70.1885,86.6869,115.8292,124.8014,117.2308
132.5797,95.4308,122.3614,163.9978,117.6356
152.6472,94.3841,101.6692,74.9504,139.0517
135.4814,135.3535,108.6221,108.4241,134.2853
75.0045,117.2781,59.1038,75.0784,140.0828
89.1182,144.9238,120.7274,122.4034,158.4087
81.33,151.4181,95.2205,119.191,156.9319
87.2981,60.8647,115.428,178.2757,158.9756
103.5878,108.785,103.0944,144.3372,169.9415
103.7189,80.6892,111.6896,197.136,107.1692
106.3962,65.2391,125.5478,206.291,149.4372
104.6578,69.8355,144.8653,136.5362,149.2468
100.1589,98.8534,125.4735,104.4038,142.5311
53.2859,133.8299,139.7736,108.8624,206.3996
126.5939,121.557,136.0218,176.1845,123.5461
