alpha,beta,gamma,delta,epsilon
-0.6278,12.2757,20.3368,49.7924,35.5345
-0.5209,5.9047,15.8119,20.1153,39.4338
1.0569,10.8005,23.4132,38.7809,34.553
-0.9955,11.8935,26.9935,35.6451,37.5935
-0.3234,12.8475,13.7815,43.6701,42.6849
0.9039,9.6375,15.0969,25.8169,54.4968
0.3155,8.4376,26.1032,30.7516,29.6923
0.1971,10.2073,23.7247,31.0768,40.295
-2.22,9.5543,25.4146,33.3013,36.9559
-0.8692,7.2246,21.1056,31.077,48.7698
-1.2224,12.973,16.4836,34.8675,31.25
-1.1499,8.8284,21.5729,31.1615,44.5656
-0.2374,15.077,21.3473,26.5305,38.7397
1.808,11.0296,16.4831,24.8334,47.6114
-0.348,13.6377,28.764,42.4023,45.2438
-1.3564,11.119,19.5122,19.6227,55.2064
-1.1292,7.328,19.7445,30.8478,42.9198
-0.4175,6.0337,28.346,26.7659,48.5402
-0.0513,13.4507,23.1144,18.3554,43.2623
-0.0149,14.4586,11.2694,28.6123,27.7043
0.225,8.2908,20.7913,37.4578,39.3947
-0.4742,11.9721,8.8545,25.911,42.0811
-0.1008,13.3853,16.6562,31.8761,42.9178
-1.0521,13.2339,21.266,42.7041,39.9551
-0.3135,14.0105,18.8842,21.2375,33.9254
-0.0184,10.9204,18.3058,24.1467,34.3024
0.5495,7.938,15.1157,30.9643,41.6113
-0.7134,4.6905,20.3835,40.7491,41.9481
-0.224,10.0765,22.2064,26.0848,31.6186
-0.8694,12.3397,20.2652,22.0158,30.3445
0.4183,6.8294,13.036,30.9937,41.1914
-0.4912,8.9146,21.1206,33.5099,35.2735
-1.4981,10.3405,23.3987,22.1098,57.0819
-0.0917,10.5615,15.2594,22.7874,33.103
-0.626,15.0252,17.6434,26.5638,43.3257
-0.3337,12.163,25.1035,40.8716,37.8222
0.835,9.6272,18.2691,30.1492,45.9131
-0.4388,10.0548,16.7794,44.6772,38.062
1.2388,8.2893,11.7484,33.2659,14.7014
0.3176,9.4136,18.9166,29.3781,33.8009
1.0615,7.0724,11.2686,28.6162,64.6082
0.9739,9.1702,11.3433,20.1836,44.2582
0.6707,7.8,17.0294,39.9083,32.3493
0.3432,8.4677,21.2614,31.3305,27.1234
3.2828,9.0647,20.7836,22.4074,47.5436
-0.3628,15.5937,24.1453,33.7748,51.5613
-1.0964,14.3367,17.5331,26.9924,41.0415
-1.5445,9.1133,12.1348,19.8455,33.1047
-0.1127,5.4532,22.9389,36.5982,42.5037
1.2111,7.1201,23.9455,24.1067,45.3451
0.6121,9.1631,19.388,27.0248,46.9551
-1.2795,7.9824,15.388,32.8863,52.6191
-0.2814,10.3021,13.7056,22.6653,42.0119
0.2515,10.6924,11.4302,34.7674,34.7301
1.0055,10.0566,16.9083,27.6643,34.15
-1.4474,6.4671,11.7999,20.8999,42.1115
0.0126,12.5839,18.4671,31.6323,35.4152
-0.2875,7.7324,19.042,29.3433,32.0701
-1.1764,6.5793,25.1515,37.6405,37.1766
-1.5664,13.5855,15.232,12.4316,39.711
-1.5809,7.0046,14.8889,31.9212,26.0255
1.2039,9.731,23.1344,24.5676,54.8037
-1.0611,12.5545,18.9526,38.4636,26.2176
0.2647,9.1351,18.5368,35.866,34.0445
1.0643,5.5198,15.3005,32.3811,51.1275
-0.8385,10.0598,13.3985,27.0299,35.7791
-1.087,10.1582,19.9338,23.9769,46.3763
-0.0556,6.0506,15.1831,15.2225,30.9915
-1.8194,11.2322,22.7992,30.1912,30.2662
-1.3469,10.29,17.9186,32.9911,37.6574
0.5566,8.5897,23.0385,35.4627,39.0933
-0.46,12.0687,16.9493,30.9062,30.9388
0.734,12.5489,8.373,19.174,35.3748
-0.5665,16.0384,14.8087,28.7156,49.4398
0.4157,7.3621,26.2618,25.8419,44.1586
