alpha,beta,gamma,delta,epsilon
127.8655,159.1391,45.8783,110.5023,117.2913
138.291,93.5326,118.653,100.6941,328.2026
125.9231,68.5639,90.4695,114.1884,135.1275
93.962,30.3756,124.176,133.0788,153.1875
103.0082,103.1358,98.9085,138.7438,186.354
158.0211,92.397,166.9507,138.8823,206.9645
93.9335,133.5194,124.1498,140.848,135.5252
159.3763,132.2953,74.946,105.5146,85.6004
161.6696,153.0962,276.1428,134.8822,126.0709
109.2805,114.0598,125.1667,141.3619,85.3023
103.8802,83.2004,223.6903,34.0079,66.7761
73.521,76.935,108.0151,66.1782,151.6239
101.3779,60.3146,153.9822,128.3635,176.1302
110.4092,128.6209,109.0567,104.5455,112.6541
30.8449,111.1621,130.9424,195.7435,122.7502
53.8851,121.4889,134.4788,95.6307,188.5812
161.9782,124.5245,147.2271,84.9171,178.6527
72.4329,98.2199,106.2812,86.01,145.6427
73.5983,99.6529,140.6356,129.885,99.0473
69.2301,91.3706,68.0401,77.3019,171.5923
75.8642,77.395,162.1948,94.7658,141.6353
79.4668,76.7755,199.0808,54.444,127.0142
85.3369,27.5204,139.6242,117.8643,144.5584
119.5768,103.1174,116.1087,37.4363,111.9883
104.7423,110.5662,147.6622,153.2665,148.0868
88.8262,110.0595,112.3892,136.2012,117.6982
99.3538,98.5101,131.4223,158.8626,167.2629
66.6729,102.9438,136.9849,153.6036,168.4054
158.8841,53.7,95.2293,184.0578,156.8601
81.1999,183.3727,19.9745,117.5622,219.1627
76.6204,187.6999,94.3002,97.9611,120.0647
58.8378,90.363,145.0537,160.9142,71.0929
9.0544,188.9267,115.5436,74.0472,171.0733
198.969,53.3862,132.1654,133.8711,84.3114
69.7653,79.393,178.6482,125.8849,159.303
83.6265,85.0553,94.0061,198.2311,189.949
113.8732,162.1827,84.474,74.382,141.9406
65.5632,130.1511,121.0536,122.6094,147.7586
102.7915,127.8557,173.1751,83.6366,140.3876
140.7767,111.2373,85.0656,118.8661,124.5726
90.2746,92.8476,124.1575,103.964,131.6702
53.7452,60.5995,140.5528,170.8237,167.5026
139.2085,104.88,177.9269,174.3995,125.8816
99.3959,121.336,129.4525,81.9779,167.191
88.9765,99.5849,104.3983,157.1812,119.2093
91.6333,152.4049,157.0936,104.1669,208.7749
75.4682,101.9069,93.2092,79.6512,170.9351
143.1531,138.7874,128.76,166.8648,178.9866
166.5009,106.9585,92.1651,153.2233,125.7089
120.0626,122.3012,140.3053,129.1911,148.556
105.2602,128.6084,148.8606,160.9166,144.2504
69.2924,114.7021,144.3137,184.3835,173.4041
103.2591,54.5329,114.2486,198.6693,121.1905
87.1105,124.4646,72.4135,114.5386,173.9511
62.8813,115.5044,-52.9265,128.1714,126.9445
75.6383,70.3434,130.5911,228.42,142.8844
33.2524,124.7324,103.922,148.3397,176.5451
