alpha,beta,gamma,delta,epsilon
69.0187,87.4201,90.5608,94.4697,97.9117
76.8052,85.6827,77.5755,82.1072,116.7363
69.7511,85.641,94.2135,89.9127,103.7222
70.9084,77.3874,84.8641,82.1906,106.9094
67.0521,76.6729,98.8191,94.7696,96.8453
66.3776,81.304,87.9271,103.9313,101.3238
75.8877,79.354,95.688,88.6015,98.9016
75.4462,86.0037,91.1749,96.3162,78.1805
75.875,69.4259,99.6417,97.3751,90.4614
72.2883,88.0282,91.9887,104.961,95.5946
74.3221,85.9783,68.4962,101.4314,110.9429
68.512,88.2946,92.438,97.7145,85.6296
73.1293,76.8533,89.3953,100.6343,93.3269
77.207,75.3926,88.7279,95.4145,71.1451
72.3029,88.1799,81.4528,98.1093,88.0787
71.1955,83.3434,92.0876,102.8008,109.9403
72.9453,82.5259,96.0634,67.5154,118.6681
73.8704,86.1368,89.5961,103.788,103.6453
79.1979,79.3699,96.7518,108.6363,116.8174
76.0676,66.7269,88.2955,107.3604,112.8043
77.8928,87.2959,82.1383,96.6531,89.6014
78.3745,66.176,95.5193,99.335,89.6064
64.4067,89.4759,87.246,93.8531,95.146
72.8678,71.7966,88.3106,103.4916,100.7296
67.5353,84.3895,76.9271,80.6338,114.3736
76.8851,70.8763,96.1534,105.5177,104.3127
66.1281,85.4322,81.0688,83.5835,109.9466
78.6173,80.7678,99.4506,109.8399,100.0608
78.9271,86.7953,92.719,89.407,97.2704
75.4804,76.3571,98.3783,105.5548,93.9868
61.9073,84.8118,97.4309,88.4303,118.6237
78.5081,83.0074,82.2148,106.1765,115.8835
73.3656,87.9949,83.135,96.0324,117.8467
76.9046,54.6535,75.295,100.3652,109.4692
69.0126,88.7177,99.3091,96.535,119.6552
69.4392,70.8547,98.6802,94.5872,118.1265
63.8101,88.3872,79.8898,99.3705,93.7951
64.2817,74.2123,81.0152,88.0691,111.14
73.0063,86.3284,87.2208,93.7413,99.8934
58.1856,84.6618,84.2282,107.3562,116.0673
61.3168,70.6335,73.1654,105.2312,102.1662
70.517,88.0922,98.4141,96.1407,110.4855
69.8098,86.8805,92.0968,89.2003,117.2392
79.9017,80.3069,99.8914,104.6271,115.9263
78.5479,79.8658,85.6071,106.1819,98.796
73.391,79.3575,71.8395,107.9116,96.7474
72.9927,89.7155,93.1094,85.8428,100.0195
78.8104,80.9556,86.0576,97.3372,112.5343
66.2032,85.2179,97.779,103.8442,82.4133
71.0401,83.5856,93.7945,102.2292,119.3901
61.1064,51.4537,94.8952,89.7267,116.6597
75.1152,64.7948,81.5765,98.9377,107.873
75.1188,87.3768,65.1884,94.3137,111.4065
77.1528,88.3458,82.791,89.528,111.1364
72.0882,86.7214,84.9362,104.898,114.9777
59.4946,72.2239,86.8012,98.8018,105.9413
74.3813,66.5147,97.1106,109.4003,96.7633
78.5205,54.5472,87.3263,91.6911,111.878
64.5148,85.8937,81.0122,103.5542,93.217
75.8235,87.5575,99.4204,82.2224,94.5088
66.7289,89.384,99.9343,96.742,112.2985
69.5176,80.4862,82.4581,97.1362,116.8051
76.1773,58.2953,84.6763,103.1549,109.8129
79.0439,76.2641,99.5014,105.1794,119.1839
77.7408,83.9432,91.9058,70.6352,114.6513
66.5167,83.7491,90.2863,89.4655,113.5053
72.3111,88.4161,99.617,105.3578,119.1264
79.6253,84.4755,92.453,84.4037,100.2265
64.6543,89.0211,91.7832,87.6915,102.7242
56.7331,88.9583,77.5836,100.9215,102.2367
77.0608,80.9609,89.0313,109.5196,119.8707
70.1079,84.3816,74.9257,79.9463,91.4277
70.899,69.3544,92.7412,96.5686,108.2589
79.0959,69.2496,77.7463,100.5355,107.1407
64.0196,78.5949,95.3712,108.6153,113.8289
59.821,63.9805,86.5093,100.764,118.0005
73.3746,73.4464,91.3127,80.8145,82.3094
65.0696,82.7346,87.6622,108.4364,105.7318
71.0676,85.7272,90.2989,105.9603,115.5695
67.8052,76.0578,82.8271,99.3798,108.4792
75.9172,75.3613,86.9136,90.7939,117.3846
74.4217,79.9238,69.8253,93.4627,87.6258
73.1708,89.086,81.0728,103.5879,71.0267
70.7364,88.5302,88.3637,109.1415,108.9315
61.1536,86.6673,89.1279,92.6692,94.116
78.8009,83.1803,76.3018,106.3152,115.3384
57.6848,82.093,84.6753,86.0942,97.8988
71.606,88.0725,69.2978,70.2716,102.8608
68.1101,89.4518,87.2866,96.7086,116.1545
55.4426,79.8973,99.0333,109.9073,114.2363
78.9175,80.4824,97.7541,100.6414,113.1595
71.3107,87.6502,86.3455,96.7824,95.6973
73.6547,86.8886,95.8433,100.162,119.4789
62.1091,72.9885,77.8457,89.1937,95.6012
75.3084,85.1486,73.7155,105.7602,102.264
67.0776,89.5786,74.2626,105.9259,105.841
70.4087,69.3778,97.0372,104.7715,116.5886
77.5981,87.9985,90.0752,101.5999,95.5107
79.2823,82.425,97.1633,98.0042,105.8717
79.05,82.9488,87.3898,102.4541,81.233
72.5849,86.5963,84.2874,105.0148,107.2763
69.984,82.5297,89.2779,106.5566,106.1067
75.581,71.3796,92.4904,97.9276,95.5426
77.4334,74.5714,97.376,103.1584,112.0616
73.9093,89.7067,86.5657,85.1145,113.0198
64.2159,89.9317,90.0628,99.5269,93.4658
79.7834,65.2662,92.7404,104.3154,112.4395
71.9892,79.6037,62.2081,105.2005,89.2741
73.7424,86.198,97.5769,100.7092,94.7038
75.3083,81.7401,77.7429,101.927,112.8938
74.8705,86.3728,99.5182,94.3062,78.9241
74.1964,81.8318,85.4458,94.6546,100.2216
75.4007,76.2417,83.5958,106.7691,112.7865
77.8091,86.7006,98.6891,105.5193,115.9358
77.592,76.5888,91.9719,99.853,111.0718
64.6588,82.982,93.5941,104.8021,116.2283
72.5989,87.5309,95.8127,95.0847,108.8325
62.2916,84.7857,84.7064,108.4823,115.0122
63.0277,89.8582,76.6458,91.1638,103.481
71.3777,87.7523,92.7195,103.7739,106.8121
79.3736,53.4074,84.3629,104.2706,85.6796
79.7089,82.0485,85.1044,86.7535,101.0316
72.7218,86.3013,91.7026,92.743,101.3944
76.4702,72.5419,91.2144,103.058,104.1336
76.5886,89.5551,95.8605,107.5789,105.4235
76.2532,85.1799,95.1669,96.034,101.591
77.0355,80.6716,87.1874,101.4523,115.0779
79.5948,82.7328,75.6354,79.8547,107.5789
75.6507,77.7839,98.4402,80.6776,99.811
