alpha,beta,gamma,delta,epsilon
14.2501,30.1334,43.5098,46.5477,63.1381
10.568,22.8362,34.258,47.1013,61.3937
10.5886,27.8052,31.4807,59.6162,66.3488
13.5662,20.1869,48.6461,42.7466,50.0228
14.0982,27.5109,37.073,44.2035,54.8543
12.2146,28.5774,36.9374,53.3931,52.911
13.083,22.2755,36.9628,49.5406,57.3247
20.6594,20.8159,31.1229,42.2412,55.6445
13.6808,27.6014,34.2438,41.2788,57.3895
16.7224,22.018,44.0974,45.7467,63.9847
11.4848,23.4682,34.6115,40.0387,59.031
14.2882,20.1247,40.952,46.6107,67.2402
19.7184,20.2645,32.4115,68.5872,57.2757
15.1283,25.8802,34.7027,47.1609,50.0629
11.399,28.6101,49.4119,40.0792,59.9758
11.3393,31.2078,33.6654,48.782,60.3885
11.9255,21.9011,45.9308,47.3327,86.3818
10.8516,25.1575,30.816,54.7625,69.7578
10.0252,29.9697,47.7589,40.5951,52.1014
17.9758,32.852,38.3285,40.0667,59.4428
11.2575,24.9825,33.9484,62.9985,77.5773
11.1769,25.928,37.1799,43.3305,64.0615
13.3526,26.4198,33.6967,46.7493,51.7098
13.5452,22.7732,30.5542,41.0477,65.0374
16.0798,24.1767,32.0602,53.3166,59.3407
15.2277,29.09,41.303,43.3374,52.8856
10.9061,21.3,33.5257,48.1663,62.6402
11.8472,32.2216,37.8415,46.9336,58.5906
12.4654,23.908,46.8976,55.9933,53.5608
15.6795,25.417,34.7737,43.5334,60.3615
11.6845,22.7889,43.6937,48.0214,55.9973
10.2206,23.1189,34.1719,46.6496,62.4047
12.2681,29.3961,45.9832,47.5012,56.105
14.1804,22.0578,49.4427,60.3352,54.9187
12.575,21.1081,30.2639,43.2805,56.3594
16.1985,34.4682,40.1836,42.833,58.595
12.6528,22.7555,42.7087,52.1399,58.7094
18.027,21.9065,33.6707,50.8527,57.0422
15.8142,21.0929,41.5487,43.7686,72.6977
13.1086,21.428,30.3547,41.9633,68.1775
13.2484,21.8055,31.7422,42.9731,50.1366
10.476,26.0025,36.5271,67.404,57.4137
11.8118,23.4469,37.7402,65.3643,54.7084
12.0973,32.0527,30.6962,40.5877,59.7079
12.995,25.4941,39.6506,45.6638,50.9708
10.4857,24.4088,37.2571,42.0845,63.5237
11.4194,21.3585,43.8033,44.6147,78.5849
14.2508,20.1151,44.6205,51.3592,63.2354
13.1446,24.4699,37.2366,49.0718,57.3282
12.3526,21.6629,30.5837,41.8222,50.7605
18.4275,34.3251,40.101,47.7841,54.5756
13.0641,24.1237,31.5229,54.9993,66.1703
16.9537,29.0963,33.3147,42.4699,53.6651
11.043,29.3822,40.7481,58.6552,61.3016
13.2195,22.102,41.2526,49.5469,70.979
11.1645,25.5481,39.4002,48.8636,50.9966
10.3941,21.6585,30.107,54.5285,69.2223
11.128,21.7362,64.1608,47.9274,56.2577
10.8301,29.8838,39.2033,43.24,60.6481
12.5584,21.2169,31.1025,50.4591,70.5167
14.0746,24.7567,37.5483,61.5025,56.2858
13.3232,27.4653,40.6428,45.6759,56.2394
15.6164,21.6064,31.0416,48.1246,50.8169
10.645,24.4663,42.5686,43.7701,69.5964
14.6952,28.834,37.966,47.6824,57.0385
11.7028,34.514,30.4409,61.3645,59.8716
10.2874,20.9814,43.483,45.9788,68.2968
12.5358,20.2553,31.0216,46.0784,51.3079
14.4556,27.7985,39.6073,40.5449,51.6062
17.6375,24.362,41.741,44.8573,71.6731
12.852,24.7291,40.2425,43.7304,50.1714
17.1981,28.8609,31.121,46.2036,52.4621
12.3173,26.3457,40.6033,42.0827,51.3068
11.5928,21.7954,42.5822,40.4025,61.0837
20.1595,25.9585,30.0518,48.303,50.1455
12.9931,21.4383,31.7226,40.9018,65.3792
20.3773,23.9085,34.3094,40.6413,60.9976
14.2679,33.6405,31.3139,59.5611,72.0219
10.4418,36.1673,44.8671,58.5144,54.8526
17.2621,24.2001,37.3371,43.2888,77.5666
14.4446,20.8371,43.1105,49.4068,55.8224
11.6674,29.1246,35.0801,43.2715,62.9926
21.69,21.5009,35.5038,53.5974,66.4979
15.7399,45.7468,31.937,43.2849,53.7316
12.9113,32.1676,41.4722,69.6093,67.4661
18.8531,26.2027,39.3749,55.3065,63.0193
22.0776,21.2823,34.8799,47.6643,54.6024
14.9852,33.8046,31.1128,54.274,54.9599
11.577,31.9512,37.0541,42.4781,55.3377
14.6543,25.5168,39.0123,42.5708,70.5557
10.9884,21.599,42.9049,45.2773,52.6135
10.1961,22.3965,41.4771,59.4833,62.5084
13.0543,24.7195,37.1605,53.7891,58.9867
17.0781,21.2047,37.2912,40.6926,62.0728
10.3445,34.9414,38.2341,57.7072,50.7171
12.2606,21.0151,38.4547,45.7253,54.2033
15.9751,31.7319,38.8651,47.1455,51.6085
10.7944,30.6459,30.0363,48.107,57.716
13.7369,31.0713,35.3019,53.1727,55.7127
11.1533,20.0284,38.6047,49.8934,61.8605
15.8714,23.5916,31.6462,45.3355,57.8494
13.1839,23.3394,46.5383,47.2641,50.3218
10.7193,22.9628,31.0884,48.3028,64.7328
18.9513,22.1251,39.6052,44.5443,55.3814
15.7191,24.9648,41.0738,46.8273,55.5257
19.4161,20.0981,36.6143,51.6443,66.4254
14.6983,31.1831,41.2364,56.8741,57.6413
16.7329,28.2858,37.1136,42.8575,62.8801
16.5344,36.9613,44.0605,53.9462,57.83
14.7676,26.0324,31.2114,50.5994,58.8324
16.3479,23.0241,36.3773,54.4155,75.6208
12.8131,20.3287,41.986,46.7561,52.0422
10.2727,30.9653,38.3256,41.6045,53.5243
10.7575,22.2967,36.9313,44.3983,61.0671
12.2981,20.1826,35.4252,50.3928,58.5087
11.9073,26.9368,39.8312,51.6729,56.0844
10.776,21.6248,43.5296,44.5285,63.3623
10.7777,25.9444,31.032,46.877,53.6074
14.5618,21.2448,45.4433,43.5833,54.9114
13.2338,26.4041,38.2703,50.9036,53.5959
12.169,20.6739,33.0231,41.3209,55.1925
14.0461,23.2688,31.775,45.8353,61.6628
20.9962,24.5331,38.7373,41.8795,54.5488
11.0457,21.0185,45.8021,51.7315,55.2482
11.728,38.0998,33.5315,41.8526,55.5946
12.4244,27.3152,36.6883,50.519,52.1893
11.6645,28.18,31.2435,47.124,63.2185
15.8206,20.2401,31.0002,41.7122,53.5512
13.8611,30.767,38.7176,53.6819,78.2508
10.9695,21.8485,31.6385,54.8089,59.6303
10.203,32.1683,48.6225,54.9324,57.6318
11.1096,21.1364,34.9432,41.7046,61.2082
13.4416,24.2247,44.9239,42.9005,62.7895
14.0675,21.4578,45.0137,50.2657,53.4976
10.6359,20.2487,36.9298,55.9169,52.449
10.3644,24.3689,35.4156,42.8853,61.5241
11.6374,22.4315,49.4095,44.153,60.5255
14.132,24.1964,38.5635,67.6821,50.5775
13.7893,26.5706,33.9934,43.4548,53.0586
14.2246,26.4401,36.2818,52.3786,70.0853
11.3682,25.3937,35.0633,59.9487,71.042
10.0958,24.5078,32.011,41.3744,61.6525
14.0482,23.8447,46.1659,44.8751,51.1171
11.5662,21.3477,45.7597,43.9618,57.1568
13.1112,34.9632,41.0602,54.0576,58.965
10.0215,21.1179,37.6279,48.1779,64.5779
15.6601,26.6415,34.499,42.3351,58.0564
13.7895,27.1555,36.3042,44.8703,62.0797
16.2494,25.7653,30.8387,60.379,52.5937
14.1554,28.0539,35.2593,54.0556,77.4141
11.6972,33.1419,37.6277,59.266,57.7536
13.2002,22.467,39.504,46.1113,60.8965
15.1977,30.917,32.1601,40.2813,55.4638
10.5341,27.0511,41.2995,49.8129,81.689
17.2757,34.8017,33.7832,61.8512,50.6307
14.3114,29.566,41.7428,46.0976,63.0042
15.3427,23.3137,40.0689,41.5072,54.2898
10.4963,21.8811,30.7138,40.2717,52.1451
11.1902,20.6911,30.1888,41.1239,72.6771
15.0222,22.5981,33.8662,50.8979,64.8557
14.1318,30.0009,33.5906,45.4779,53.3861
10.6003,25.6847,37.3554,51.8107,58.8131
13.8252,24.3863,40.136,45.0153,67.5553
10.3763,20.156,31.3411,53.0642,62.5393
14.5861,21.1863,39.8977,41.9709,69.9694
12.2623,24.4035,31.6894,44.1172,61.1591
11.3,20.8157,36.8661,55.2747,65.2806
11.8279,33.3908,32.9436,56.2545,64.8787
13.6131,21.1632,32.1601,51.0474,60.8167
18.8508,26.5952,40.1729,49.1785,57.0339
14.1364,27.7866,33.0422,59.7102,56.3015
12.9729,20.5056,30.1666,42.6959,57.0985
12.4782,33.2934,32.0607,43.1889,52.2569
16.5865,28.4772,30.9255,51.1992,63.375
11.1629,37.7888,39.8284,47.4294,53.3944
12.7187,26.7234,37.6806,43.7168,59.9095
12.6264,21.9606,42.4783,44.4262,57.0465
12.9111,21.6294,40.7602,53.2005,53.3862
11.3859,23.4546,37.8683,51.0667,53.5671
12.897,34.2116,48.3595,46.9511,65.3444
15.6761,25.9284,37.4807,45.0133,62.3335
13.6101,22.7534,35.4539,40.7819,52.8453
11.4914,33.2634,36.8699,44.189,72.2251
17.8906,25.7658,38.3987,59.1971,52.3614
10.6962,23.4426,32.4884,43.8666,53.9035
10.0729,20.5939,32.9595,49.8569,64.1416
11.8073,33.8625,32.5116,48.613,51.5255
10.9237,36.1533,41.3449,63.3322,64.266
15.1968,23.5172,33.7822,40.4031,60.3621
10.3983,33.7509,36.1316,43.9606,59.4829
16.3288,36.229,38.0555,40.7234,65.3506
11.6575,23.3558,37.6259,41.2141,62.8792
13.363,20.3588,37.9341,45.8609,54.4629
10.8157,26.6847,43.7424,65.6249,60.1507
12.2577,24.5643,34.0361,40.3714,59.088
10.3575,29.5414,37.6275,44.4274,73.9786
12.9253,28.8405,36.4659,65.9748,62.3291
10.5433,28.2934,30.2204,45.7275,59.0125
15.0334,28.6099,36.9088,52.2971,58.6408
10.6194,26.8747,32.6297,40.6313,56.433
14.3493,29.7617,34.6357,41.5034,50.0434
13.3321,29.401,34.0058,49.0243,61.2644
14.6781,24.6923,55.6259,43.6698,56.91
11.2629,22.1793,33.4353,42.5456,76.4679
13.7851,21.2072,42.8955,55.301,63.8087
10.2599,20.8912,41.8124,44.1837,53.5624
17.1608,23.8563,37.513,49.2935,70.1321
17.3522,26.6063,44.0115,40.4103,54.7037
12.4873,23.3587,38.739,40.2501,51.421
16.7642,20.8286,31.0431,50.9789,53.3598
11.1882,33.0743,35.8237,42.3455,59.2945
12.9254,21.2411,45.6614,54.2371,50.1197
10.2153,20.7289,39.3661,57.851,57.8583
12.4368,28.2338,40.7691,42.1112,57.9107
17.9865,28.2468,33.2629,42.9016,52.2693
11.9865,22.1894,31.7721,44.9175,54.5319
10.028,29.8895,32.0472,50.2632,70.1017
15.4513,25.7184,34.4931,40.643,59.2692
24.8284,28.8293,30.9109,52.1189,57.5008
15.5273,23.7072,43.4036,62.4482,60.564
12.2372,27.4221,36.5328,49.4092,50.166
13.161,20.0494,41.3122,42.6962,54.3579
14.6677,27.8309,48.7472,54.4375,63.4154
14.4857,21.8132,40.2874,50.8191,52.614
11.3687,24.3338,60.2307,41.8839,56.7102
13.2641,20.0714,30.7847,44.6711,56.7202
