alpha,beta,gamma,delta,epsilon
87.3371,91.7469,108.2181,115.7585,129.4193
87.474,91.1124,94.2277,113.9643,120.1257
84.8683,99.777,103.16,118.702,109.9687
86.2893,98.9542,101.0855,110.8996,112.1759
86.9758,95.9482,107.5561,116.9121,129.8106
84.4933,92.8518,102.009,117.5633,114.652
89.1561,92.6329,102.9772,110.382,121.16
88.7208,88.1178,97.7547,114.5621,118.8662
86.5204,96.9954,107.4761,111.3493,101.2766
88.0898,96.4237,109.8536,116.8806,127.4345
84.5084,98.4245,106.4149,114.5414,118.8403
84.7045,96.231,103.8702,111.153,127.7225
85.0894,94.7108,104.4881,111.2737,120.8526
88.4741,96.9788,99.5499,103.8044,125.9166
89.2522,99.658,99.4393,111.1541,115.539
88.9924,93.7183,98.7113,119.9446,129.3362
89.7046,99.9392,93.3346,108.5696,129.9809
88.1454,99.5171,101.8001,108.8775,113.9206
89.1483,91.0452,105.2105,118.6445,117.7172
84.6846,97.4988,108.7973,117.9681,124.0569
84.3286,96.3925,101.8648,92.1717,117.4929
89.6154,91.9344,109.5514,113.5385,97.3519
83.6704,97.9277,105.6645,111.7939,116.6616
89.9431,85.1008,100.3867,103.861,122.4104
82.5138,90.8736,100.0543,118.6853,129.2152
81.4258,95.8583,100.015,119.4865,126.5795
89.5501,79.0456,97.5109,116.5055,113.5885
89.401,89.3918,109.2756,117.0689,99.4406
80.8826,96.0842,100.4501,104.3939,121.8748
87.8543,99.5519,108.0149,110.6373,126.737
89.5668,93.3385,104.7193,115.3415,123.7582
86.1048,89.1122,100.5524,115.1696,123.4397
89.3424,93.9794,109.3052,114.1969,114.5786
84.9344,86.142,108.311,115.1608,100.9458
84.836,92.3779,98.6426,118.6461,115.9121
89.6683,97.5648,96.5825,118.1752,127.4357
80.9143,96.0188,96.2412,109.1722,125.1521
87.5882,99.4646,106.4699,115.9213,108.4124
83.601,90.2749,100.3066,100.9525,116.3982
85.4669,98.1018,106.0918,108.1827,122.3909
81.0681,95.4471,100.3439,114.5369,94.7023
84.0915,96.7242,106.6482,98.5758,127.9243
88.4177,88.285,104.0433,112.8218,111.3084
83.8247,83.806,100.8165,103.651,125.8518
84.2292,99.0165,98.9802,82.3631,125.2447
85.7154,84.9601,106.217,117.7062,118.366
88.1081,98.106,103.2778,103.9656,114.8135
88.2945,94.3607,99.0392,99.9269,108.6984
83.7121,90.2259,95.7603,114.7899,103.0319
87.0068,97.4192,102.4968,116.3492,119.6643
89.3547,93.9899,105.9215,101.6834,123.8673
86.8482,93.4941,99.0744,110.2231,125.6153
87.0507,93.5754,104.8111,112.5813,125.8238
83.8745,89.032,102.9952,114.6096,110.2583
84.956,99.009,96.7884,113.6389,117.6312
89.4546,88.9463,95.4826,113.5178,113.6674
89.6206,88.2577,101.5101,111.5331,113.6373
89.7814,97.3247,85.9024,112.6007,107.2578
87.2991,97.6698,105.8867,117.4841,120.6228
88.7904,97.3334,104.2283,117.6162,124.9786
87.9985,89.8953,109.8636,112.2126,122.0995
83.1099,89.3115,102.2444,112.2976,126.3092
84.9683,88.8714,95.3442,115.4199,124.7078
88.175,99.7883,98.1628,117.1316,118.9067
85.4768,90.8509,98.0653,112.837,128.1699
79.4826,94.5157,103.206,114.0718,124.348
86.0874,98.1092,106.6237,102.0093,127.4604
87.9153,93.7646,109.4673,102.2199,126.1907
87.3203,86.3618,103.0247,116.8766,103.7725
86.9584,95.9928,109.8829,117.0803,114.5003
79.8443,92.9272,102.2274,101.0612,127.606
85.5373,85.0456,109.8301,118.5743,123.1706
83.267,96.3215,104.8195,115.119,105.176
80.9281,99.186,106.0263,115.5317,122.2569
86.059,85.3371,106.6302,109.556,108.081
87.7909,97.8515,104.0088,114.7453,108.487
88.0518,98.322,107.1007,96.3601,122.1538
88.5389,99.7197,99.4771,107.3689,125.309
81.669,98.288,99.0883,102.5075,102.1242
88.7826,98.6948,103.6123,113.7207,102.8452
83.4798,99.5494,103.3269,114.6889,124.2621
87.7626,91.5687,102.0092,98.0918,127.7555
88.2661,93.722,94.186,97.5336,109.6086
88.3392,97.48,105.5529,112.1145,127.6075
89.6436,99.55,109.3947,117.1442,129.1298
81.1603,98.5645,102.5085,105.1806,126.7244
83.3446,97.0155,109.1313,119.0624,124.448
88.9205,96.9367,103.2319,114.5917,110.4543
86.2484,96.1386,105.1123,116.2406,96.3541
80.5022,95.965,108.036,117.4418,116.3121
83.8049,90.1388,109.0772,110.5594,120.1929
88.5711,98.5594,105.3317,116.3271,129.0255
83.5772,86.0167,99.0525,104.0756,121.9934
85.0364,91.8499,109.7729,117.369,122.0982
85.6251,96.7668,102.7318,102.6796,104.268
82.532,91.1682,108.0856,109.1635,128.4528
89.408,96.5573,100.7526,96.2428,124.3946
82.3791,92.8081,105.6766,118.5883,128.3778
89.0616,99.5274,105.1373,119.6357,101.6978
87.3441,93.5905,82.3593,110.2317,126.8251
86.9274,93.5485,90.6299,112.7742,125.441
83.4815,99.9023,104.8876,116.6809,121.0926
89.3836,98.2827,92.7216,117.2342,110.1227
84.1467,94.1215,106.0705,113.8725,117.4431
88.1253,88.9365,91.6466,116.5524,114.9651
88.1621,93.6771,105.5621,112.8305,108.643
85.6773,99.7468,105.3619,117.5417,110.3144
85.6491,99.4872,105.41,109.3733,127.2024
86.8361,94.9252,107.9066,114.6139,127.9534
89.2439,99.9533,103.4406,115.4467,129.0834
89.5307,98.787,106.8834,106.6728,123.4389
89.8126,93.4954,109.0233,115.6707,124.3772
85.0348,96.9268,108.8224,107.7789,121.493
85.7035,98.5862,104.6266,117.3279,119.5401
89.5894,92.9878,104.2081,89.6322,126.2808
85.3351,98.6936,109.6775,96.911,124.5903
86.5203,92.9794,100.5974,99.7208,110.8119
79.3247,96.2257,106.1885,110.095,117.774
82.5804,95.0393,108.8085,114.3403,124.9546
87.3526,99.1618,89.0301,99.9433,112.7665
88.9638,98.5394,99.226,99.6737,123.5137
84.8294,99.2155,107.7264,112.288,127.5486
88.2593,95.5626,100.9374,109.4916,115.7467
87.6062,94.4104,104.284,117.3318,123.9242
83.6658,90.5582,104.0348,105.2388,123.7168
83.3228,89.0932,100.6937,118.6128,114.6721
84.6265,94.5265,109.1543,108.2175,124.7521
84.7917,87.876,106.0204,119.4299,107.1448
85.9166,91.7966,99.3669,114.6472,120.1419
82.7811,93.7732,102.9379,110.6608,107.6857
87.3333,96.6919,104.7001,101.5135,124.8531
85.3248,94.6852,104.5044,107.4094,119.3077
85.3913,90.5912,109.5548,118.11,111.6386
85.876,99.5354,101.7532,107.9316,115.5846
89.0374,96.487,94.4211,103.0459,112.8859
89.16,97.4032,95.1268,109.1401,127.9755
85.681,93.0974,92.8126,95.0788,111.1836
84.3695,99.8799,109.1119,118.6277,126.4582
88.7823,99.398,103.3473,108.0796,129.712
85.8641,91.2074,86.6472,110.7667,116.5071
89.6042,97.0379,103.6532,118.722,121.5178
86.0943,99.6136,107.6313,105.4213,121.5108
86.5559,97.0134,109.3247,108.8582,128.1651
87.8972,84.0551,109.5481,114.0391,106.3705
79.7459,99.3284,99.0065,112.593,108.4106
89.7159,87.9536,105.9046,112.2679,105.6029
89.8894,83.8143,109.4649,118.7451,102.8958
89.504,95.6683,109.2356,115.7479,109.5025
83.3616,98.9236,102.9295,96.8474,105.7325
79.1821,96.8244,109.0933,93.8385,120.8525
89.1943,93.6281,109.6646,108.8892,129.6727
89.399,99.2665,109.7431,105.1739,119.6121
78.4268,96.1058,101.0158,110.5887,128.6
81.3151,94.6657,107.4759,100.8704,121.6786
89.5335,90.7323,105.3965,106.44,123.683
87.5754,95.9241,107.0289,107.878,122.4952
89.3754,94.6404,105.4286,108.9893,123.5183
83.7032,89.9115,97.699,109.1715,114.6261
89.8399,89.3761,97.111,108.6816,126.7981
89.6621,98.983,109.7346,118.5794,112.2331
84.8491,99.3275,101.1718,92.1284,126.3011
83.6953,97.476,109.9975,95.1051,114.5719
86.7735,99.325,106.2181,116.6628,117.7824
88.0282,98.4223,100.7266,86.9541,129.4474
89.7413,99.5623,105.1238,104.927,126.1151
81.2076,95.5379,101.446,119.9611,120.3842
85.9205,99.9383,87.5039,110.6498,104.8199
87.5539,95.2219,105.5503,118.7496,112.7482
85.9689,99.6668,109.1248,112.9713,128.4883
89.6947,95.7082,101.4033,103.8169,128.3905
87.8571,81.6717,108.8074,113.7057,98.4643
84.2654,86.9651,104.214,94.498,115.3707
87.0763,97.6031,96.6192,112.5618,123.5611
88.4805,95.0158,103.4397,104.203,125.7614
89.2289,94.1025,98.371,101.7128,110.2112
89.1413,99.5991,105.3139,95.8364,128.3554
82.7841,87.1411,107.2018,112.5084,97.2106
80.7268,98.3964,107.117,115.8087,91.4991
89.3647,99.3158,99.8611,117.5712,106.0694
80.7218,90.7972,104.157,113.62,115.3738
87.6714,98.0147,95.9488,111.0669,119.6663
88.3702,85.9678,99.6698,101.043,128.6377
84.271,92.3606,105.0113,102.1415,127.7222
85.5701,95.4893,96.9291,109.1172,120.381
84.7886,98.4901,108.0707,116.2582,128.052
85.5879,99.5809,90.6778,99.378,117.2113
87.9635,96.4068,104.2571,93.9783,103.796
86.715,93.3593,95.5417,115.8176,124.5224
83.191,99.6396,99.1234,108.0055,116.8531
88.5189,92.2394,103.601,114.4569,125.8655
88.6742,95.9441,92.3496,113.345,110.6619
81.8931,95.9571,102.1044,105.2934,122.5234
88.959,82.897,105.2761,102.7332,122.0813
86.7584,98.9103,104.8456,109.9467,129.5126
83.477,97.3388,105.3543,117.8254,126.7397
87.8175,88.0434,107.6618,106.7465,119.6968
87.2168,94.4752,100.5421,101.3455,112.1828
88.0278,90.93,100.4964,110.689,127.6867
88.0048,91.5996,99.2961,108.7287,122.5477
77.6326,99.1437,99.0801,115.3311,94.5334
88.528,99.1912,97.0252,106.0605,128.824
89.1928,95.7268,106.0145,113.5981,109.3054
85.841,93.8924,106.6225,119.202,111.2483
88.4392,97.0843,109.6849,104.1911,123.0929
88.6457,87.7807,104.5038,105.6667,122.2826
87.1791,89.464,108.1855,116.34,101.8232
89.6839,98.5468,109.7843,112.5629,102.2961
84.5271,97.4323,102.4519,109.48,107.1141
87.8887,86.4756,107.2598,117.3097,107.3836
84.2902,95.895,98.4291,118.5349,120.1227
89.9889,94.6218,104.2289,105.8236,116.4206
82.0722,98.4624,103.5105,108.739,121.7325
87.9676,90.7665,108.6231,107.2575,116.011
89.4783,98.7415,104.5046,111.5906,126.2427
87.0966,91.1944,97.2189,100.3298,116.4322
86.7744,97.0793,109.8737,114.2052,110.1125
88.1723,90.1443,104.0471,113.5248,126.9256
86.5709,98.3013,90.877,108.479,112.0331
79.7011,97.0608,105.0929,103.1108,119.9555
89.9788,83.2511,106.8556,112.564,119.4926
84.52,96.3844,109.1676,108.8937,113.4588
88.5462,97.8059,97.7659,94.595,115.0868
86.8405,98.7837,105.2786,113.1247,117.3577
85.1862,98.6673,104.0614,107.2219,119.7462
81.2697,98.6402,101.0891,117.7259,114.9147
89.269,96.088,107.281,108.2069,124.9991
87.1291,94.3693,108.1246,115.0157,114.7683
89.8325,85.2045,109.9048,106.0972,111.4131
83.7167,89.4224,107.2064,105.7732,105.1343
82.7187,95.4881,100.2777,115.3403,121.4431
87.7488,97.8465,105.2445,101.128,126.633
88.3002,99.8024,104.0686,107.3239,112.7909
85.3319,90.938,109.5542,108.3149,114.4547
73.1443,97.3186,104.0194,109.9612,123.0212
87.9999,99.6072,101.7406,99.005,115.8584
88.5097,91.9853,94.5857,109.9112,123.5013
89.3814,84.9212,105.1227,102.961,113.428
85.1239,95.7756,103.4578,107.832,122.856
89.3347,96.5448,105.7829,102.9938,123.14
89.6017,94.3196,105.1545,116.2967,121.9489
85.3012,87.8769,105.3552,112.1047,102.6334
89.073,99.9336,108.357,108.1489,109.3959
84.3936,94.4046,105.3815,117.3414,124.6795
85.2614,96.5124,108.2555,119.7279,110.4788
88.7145,92.7874,91.04,118.678,127.7058
84.3043,92.6044,102.8542,117.8625,114.8327
83.3771,92.1041,101.4291,117.7625,129.8503
85.0826,97.6795,109.3123,112.5404,121.4891
85.7804,90.6687,97.8913,116.9477,112.3225
87.6693,83.8675,102.5357,111.1544,126.7483
83.5344,99.8902,102.7638,109.7358,125.5023
81.0791,99.1743,103.3001,115.7675,117.6639
84.7164,98.7414,108.8362,119.6328,126.6115
88.7071,87.9269,109.7886,106.5968,125.8997
83.7159,97.2252,90.6556,110.013,128.4043
87.9095,88.5967,103.3924,116.1019,120.2419
86.3327,94.8862,104.399,109.7769,129.5961
85.8202,91.9917,101.73,110.018,116.8079
82.9468,92.6129,95.6266,110.29,113.7762
88.2261,98.612,107.9077,109.5651,128.3594
79.7023,99.9014,101.0231,118.618,125.0367
89.8947,97.194,107.8581,100.3722,118.4897
88.7018,93.7097,109.6453,111.7887,121.3088
89.4547,99.2933,108.8583,110.6077,118.8256
89.0438,99.1038,108.3088,115.6548,120.6939
80.0191,91.6261,102.336,113.1477,112.7459
89.0536,88.6972,101.8655,111.2575,119.4152
89.1527,81.5719,106.3377,118.6182,119.1991
88.4239,94.0859,109.0629,107.4919,116.6905
89.5459,96.3776,105.5068,116.2138,129.5141
88.998,88.9885,106.2426,110.6672,121.5404
87.4183,86.4754,96.9344,115.9484,105.3976
85.5303,93.6331,107.4386,114.2544,116.3105
85.4248,97.0969,103.8062,117.5812,124.1443
86.3861,99.5015,100.3736,93.1908,124.0781
87.6487,92.8619,100.6052,115.9574,121.8448
89.818,96.3217,108.0475,114.6798,110.1781
81.0626,99.8219,102.8945,113.7312,103.5459
88.3476,92.8346,107.8397,103.6304,117.0372
82.3705,98.4213,107.9308,113.6886,121.1587
89.4868,97.6282,100.9678,115.2241,119.1665
89.0315,85.1481,105.4205,107.8425,114.7831
86.4337,88.8015,109.1263,109.2304,102.9219
84.7504,99.0852,102.2736,111.0673,122.3408
88.8051,97.7288,96.0149,119.1755,105.2099
89.8675,99.3153,102.2397,113.4049,126.0255
89.0459,94.8371,102.0113,96.3007,122.8261
89.5809,96.6348,91.4888,102.6761,118.1308
86.7881,99.1506,101.3824,108.8177,106.2748
86.91,96.7506,96.7292,116.894,108.2235
84.6957,95.5113,106.957,118.6843,117.0632
89.8332,99.61,103.9193,110.9299,105.6355
86.7728,92.5384,107.4474,118.7975,117.6076
89.0675,99.6384,109.2296,113.2978,124.4611
83.3601,98.2542,106.0551,108.9982,121.7814
84.7017,93.9449,108.1564,112.4296,125.3053
88.2385,99.9591,93.3192,102.5396,124.9911
85.9688,95.3799,105.3289,118.11,125.7738
87.5781,97.7387,107.9298,116.6345,127.7463
84.6451,99.835,107.4867,118.6342,115.5471
81.7849,98.8597,101.7362,115.4588,116.711
87.6184,96.0227,105.6573,113.8871,124.4251
89.3505,99.2494,97.8898,109.88,120.9859
85.8141,94.1998,106.4065,108.9535,129.637
83.5505,95.8945,100.0326,109.2979,118.0294
86.2087,96.9819,106.4751,107.4154,116.3783
87.1015,92.2278,94.96,118.8581,125.045
83.6645,98.46,98.906,117.4711,125.0604
81.3003,80.9318,97.2376,115.4514,120.7184
83.3316,96.8667,100.6473,119.7516,123.5317
83.5022,88.4786,98.7745,107.0348,126.5224
89.8881,98.4282,102.7888,119.3351,127.3029
86.1728,89.613,105.4389,104.1711,122.3007
81.9587,90.8021,97.5653,116.9006,122.7529
87.4371,99.2765,107.7552,94.8519,114.323
87.4402,97.0837,106.4322,118.6127,123.7478
86.7444,96.4026,104.892,102.2902,126.9371
85.1002,93.9346,109.3121,110.6272,117.3839
89.14,95.6923,102.7524,112.2883,128.8894
88.6614,98.1536,101.0198,110.9238,117.8335
84.5474,87.0147,95.5121,109.3188,125.865
88.7893,93.8597,105.7771,106.5539,123.8642
89.6288,97.0058,95.462,118.9646,127.8908
88.292,96.3478,106.5546,106.8002,129.0657
89.86,98.699,109.7922,103.8322,105.4872
88.0375,99.5461,106.0419,95.2451,105.6598
87.7429,89.5479,99.5,111.1473,124.8495
85.3093,96.8558,104.2141,101.1066,115.1583
83.2025,98.3035,100.5345,119.8925,109.238
84.4176,99.4846,96.5382,107.5064,128.1434
86.0957,98.9125,106.0257,111.3938,117.4354
86.5508,98.3518,105.5499,91.5248,127.4804
89.4556,86.6153,105.2223,98.7951,105.7122
85.7707,85.307,108.6134,98.6336,129.3337
88.2794,95.0166,93.7975,106.3011,124.9009
89.9775,98.9385,106.4448,113.6581,121.6836
89.7524,99.3963,108.9764,114.4264,122.0973
84.2004,95.058,104.0211,104.7583,125.1846
85.576,93.8459,100.0491,110.0248,119.4072
87.6863,89.8969,105.1556,102.0659,117.4569
87.0143,93.051,101.8322,119.965,124.7051
88.2392,98.3512,108.4841,108.3536,127.8177
89.9987,98.5541,96.9782,115.4536,114.3324
89.2551,99.5495,107.9529,108.2144,125.7408
87.9505,93.9534,106.4346,117.0659,128.3411
87.5984,92.1629,105.1921,112.2007,109.3967
83.031,98.3903,94.3566,104.6714,118.3478
81.6504,97.8957,99.044,118.4293,96.3058
85.708,94.3037,109.571,115.8878,111.0569
87.8835,92.5031,99.9816,107.2451,110.6483
84.9664,82.6508,100.9971,104.1588,124.0819
84.8703,97.7972,96.101,115.8255,128.1193
85.2498,93.2481,104.9505,108.5071,119.3327
82.1018,93.7625,100.1119,117.5652,108.0973
89.0692,85.3817,105.69,118.2616,98.2689
84.1641,99.3285,101.0493,97.8788,118.1275
89.1857,96.6321,105.6283,116.1346,119.7209
89.3761,94.5038,96.9492,116.5386,117.7357
89.2835,97.9991,90.7381,102.1652,128.2851
89.9487,92.8699,101.0921,114.214,113.5011
84.1238,93.3433,83.1971,115.7231,116.5037
85.0161,98.0227,108.9356,119.4641,111.6853
84.1525,93.1874,102.1433,115.89,118.0622
84.9859,95.2318,101.1942,116.4445,127.6507
86.542,96.2158,105.5885,116.835,128.8611
87.133,93.8413,99.4344,105.5427,118.8745
89.5974,97.5841,93.0582,112.8127,127.0646
83.2555,98.5433,108.4032,117.1663,111.3167
88.8969,99.4149,105.8835,103.6559,120.6458
80.0987,87.72,92.6496,119.9701,120.4346
88.9335,90.3597,102.9556,116.2247,121.1286
87.2231,91.6715,103.316,114.9097,124.7353
87.4723,93.6944,108.9527,110.9342,126.7458
89.8692,93.7755,108.3562,116.4636,129.979
88.605,95.4868,108.0125,115.5417,117.946
89.9244,93.1538,103.1969,117.1871,112.4477
87.4658,99.467,94.5911,111.117,122.2005
80.9632,92.302,102.8382,119.3403,128.4851
87.57,96.9762,108.5827,119.1555,127.3463
87.5375,96.8806,108.4938,94.7573,127.1824
84.6508,95.1362,106.9211,114.1673,109.18
86.3451,93.8538,106.364,118.6817,121.7801
80.3859,96.9596,92.7054,115.7573,119.4897
87.7721,98.7797,106.7221,101.8489,121.3158
