alpha,beta,gamma,delta,epsilon
20.9951,27.3029,84.8177,43.9599,89.6743
82.1858,23.5163,87.2588,51.623,58.7555
84.0398,86.2032,81.9645,42.1438,84.7538
11.7674,35.6376,85.7942,97.0581,89.4198
24.6728,17.7787,37.9629,83.6089,80.2182
21.4259,77.633,89.4374,87.4967,92.0116
17.505,28.3104,89.1422,86.4439,55.7376
80.7753,18.684,80.8655,82.3453,95.7901
82.5313,82.234,82.9991,51.8361,57.3201
83.4209,78.9714,88.7441,46.7921,66.1432
76.6554,28.7754,45.2939,36.849,57.6834
84.7045,40.6012,33.855,51.9469,85.1115
19.5849,30.8502,43.073,46.8796,90.934
18.0665,87.8985,84.36,50.6093,66.6103
79.1585,78.9151,84.4735,88.9028,84.171
31.4015,76.3276,46.7404,82.6587,87.6591
26.7651,33.4557,91.19,85.6934,84.9962
84.1413,85.5754,80.7655,46.956,66.3759
81.5159,85.8033,95.0437,76.0762,76.1348
88.2941,24.8685,39.3172,43.3773,89.5808
84.7424,32.787,45.2282,82.8959,55.1415
20.1198,22.9394,86.3217,86.2828,76.8863
22.2925,78.0446,79.5192,84.3047,58.6609
86.7154,28.7298,85.1794,47.1725,59.0288
81.3182,25.1472,34.7611,84.0103,58.048
80.7599,28.2548,86.6321,42.8692,63.223
18.1806,91.508,37.7451,52.6301,88.8957
66.3301,87.2295,40.4563,46.0313,54.7494
84.9851,79.662,45.3723,86.356,58.8436
85.9709,27.5899,45.3127,83.3991,83.9379
81.647,33.5781,88.2332,98.7787,85.0463
85.4921,82.7119,36.0385,41.0214,92.0123
70.1796,27.73,40.6927,90.4328,53.3401
78.2382,82.4818,46.2259,82.1082,84.3295
18.939,23.564,87.7753,45.8866,57.1626
16.7103,87.0439,88.148,89.328,92.1692
29.0666,26.576,88.9364,41.8246,92.4982
27.4836,90.9868,42.7552,50.6708,51.0321
79.2408,31.5028,32.3495,57.1256,87.5372
82.7145,29.1646,37.1263,52.9906,58.5489
73.8654,28.8293,82.7301,48.7034,60.4912
21.9301,77.9328,87.1431,44.7102,92.2241
22.6604,85.3762,84.356,85.9803,51.8509
18.6275,86.9861,83.9132,90.8743,65.6294
86.2426,35.6315,47.5901,90.9825,85.8592
79.0295,80.7187,79.5851,93.8016,69.0569
15.025,79.0813,37.1763,92.9919,66.8722
86.5128,35.5464,50.0633,79.3263,56.0086
27.3826,83.4049,39.2128,40.3911,66.8047
78.6036,29.2301,42.7543,80.1091,60.8691
80.3755,28.1261,34.9087,48.2821,89.0199
18.8923,85.3164,88.2695,46.2271,85.7911
25.6297,35.3147,45.4323,91.8955,57.8674
27.9493,87.2565,81.5088,80.6173,83.4445
20.9493,40.0285,83.0699,81.327,98.0362
81.7608,86.4503,48.7146,87.4293,93.9255
19.3161,83.5827,83.3664,84.3046,58.8321
15.7953,82.0653,41.2415,49.1599,61.1613
24.1172,82.4887,86.7346,47.4151,85.078
16.8862,83.149,91.6082,51.9257,79.276
17.0971,82.6266,87.6934,91.8448,59.8985
86.7437,33.0568,89.1264,47.835,96.0903
15.2299,77.0794,83.9886,79.2309,57.1374
81.872,84.5681,83.6584,84.3177,87.2486
75.1877,81.9214,35.1192,50.9205,58.9863
82.3694,70.1326,34.1991,87.7128,91.4824
16.6455,82.46,34.5035,42.5286,51.5555
22.0572,85.8651,91.8936,52.9653,54.2335
21.8996,76.408,77.332,88.527,91.1034
24.219,31.5981,83.4878,49.6992,68.3743
12.9446,80.9485,46.4395,52.6822,56.5699
87.2729,83.7782,78.9574,79.5875,66.261
79.1858,35.7239,44.7905,83.2137,62.2118
66.9142,77.7636,83.0156,76.887,96.6348
17.4275,28.4652,48.6205,83.3515,62.8006
26.0095,30.7411,45.1183,49.7712,64.6405
20.2948,76.8793,47.6697,55.3097,59.7163
11.9654,79.3983,78.8494,41.4972,58.6702
28.3138,34.2509,85.6387,97.7106,91.6671
13.8866,79.0347,82.7256,85.4512,75.7394
7.5957,81.5121,80.0258,46.7734,90.6876
21.7985,43.9145,46.7561,48.0417,72.2118
19.5129,85.6703,79.7256,78.9521,91.9376
19.1018,80.1182,84.859,45.1896,61.1537
74.8501,22.6217,79.8829,50.5366,62.4521
78.7474,24.533,45.6183,86.7613,82.976
18.8504,25.4125,90.3226,54.7545,79.2017
13.9013,34.5765,39.3993,59.2473,91.2205
26.0954,23.405,30.2888,44.3079,50.9848
79.3892,76.0392,83.4486,47.5408,64.2369
18.0331,86.4447,84.6018,84.5978,59.1748
22.1027,28.0836,91.4662,79.9219,86.2281
17.6444,31.248,81.4351,87.6369,58.5209
20.4464,31.5889,42.9321,47.6807,67.2113
73.149,29.9296,83.7502,42.3124,95.202
86.9849,82.7402,81.6227,86.6029,60.2381
78.2467,77.4249,27.8259,85.2073,85.1191
20.4758,28.8724,38.2988,53.2143,68.3739
22.8571,91.9834,91.9238,86.2364,59.9759
81.4447,34.7205,88.2833,84.9554,82.4259
85.9435,35.4833,41.4873,54.0864,69.5527
74.4566,78.336,53.6994,73.9822,58.3117
8.7928,21.8396,80.306,44.5995,52.1351
75.4079,82.2857,42.3311,92.3924,85.2312
73.6089,31.1353,44.8299,47.6468,89.6197
19.4465,25.233,32.2095,84.2735,91.3904
85.5917,88.1458,86.6643,49.4663,53.6059
27.8704,31.7768,39.5077,81.4226,92.9023
81.4847,25.3578,88.0723,50.0444,68.355
21.5228,31.5186,39.5037,83.4079,59.5296
6.9268,87.4871,37.2678,98.8039,53.5936
83.5364,87.25,84.9667,51.7813,86.2012
78.2032,26.3107,77.0495,52.4635,86.8771
80.002,83.8712,85.4064,87.6651,83.6112
67.8103,82.8499,73.0563,83.3094,58.3268
72.4478,24.8745,85.0048,42.8615,89.3756
16.814,86.2406,81.9183,96.9888,51.8089
26.0384,81.0388,80.4938,80.0399,61.5972
82.0434,82.6801,78.8195,57.1864,66.4404
85.5311,80.2815,36.917,95.2736,56.1784
13.0338,32.5005,78.0801,53.2703,63.4139
85.7148,27.1292,40.8508,38.7271,52.2426
78.6611,27.8227,45.6178,40.3459,95.3938
84.4528,80.664,43.4319,54.3772,80.9216
13.7689,25.276,46.9322,49.4421,87.3182
74.3146,90.5259,37.578,48.5038,56.1131
77.4102,86.4289,80.4065,49.1104,60.5233
89.6099,92.0818,39.3036,49.785,81.4339
80.3308,79.2527,88.6243,89.7403,91.1538
15.1424,26.5029,44.9801,54.0367,54.0846
13.5407,34.3243,72.2989,52.0741,84.893
75.7912,81.2048,38.1783,83.2718,87.785
17.7555,82.5012,44.202,86.5804,83.7137
22.1838,30.4826,83.9054,60.0319,84.2498
18.2145,31.6079,45.2595,88.302,57.3164
18.983,36.5665,43.3969,52.555,55.2891
89.6157,29.9488,80.8524,87.4606,79.2855
21.4188,86.5767,37.5206,83.6163,83.9623
23.5526,82.9133,42.239,54.0979,94.262
19.3445,29.7438,35.7106,43.9904,86.2771
83.9917,87.3522,84.9254,81.7981,52.615
15.0512,83.3987,35.0654,58.201,87.7517
76.5235,32.562,76.4143,84.4001,90.7183
76.1565,82.8475,85.0127,92.5936,61.7069
79.1892,82.5474,79.2873,52.3286,84.8605
76.9123,27.4641,83.2803,46.2362,89.0156
81.859,27.8592,40.7588,90.0129,59.214
10.2997,28.627,79.2808,89.5735,51.2308
85.646,32.4634,43.2204,89.1464,59.685
74.3885,39.8815,41.838,48.3123,81.9101
84.6678,86.9864,41.4481,51.9415,94.3923
26.5247,76.3386,41.6317,57.3482,67.7254
85.4693,32.1151,41.0748,45.8097,62.6291
23.1104,77.6855,86.4521,50.6247,59.0743
18.8905,75.8108,37.4288,81.6839,57.0199
30.9903,32.7736,88.8471,87.9531,82.8116
79.5786,28.4761,93.1596,40.9616,77.9889
87.3561,86.4909,84.2942,42.6527,56.271
80.0177,80.948,40.2443,78.5043,81.8015
82.5429,81.5804,32.4047,48.146,64.0272
80.9413,33.5383,29.4712,86.3465,67.2276
77.961,32.2012,38.4418,78.9142,58.1265
23.4969,24.3393,85.6561,49.6009,63.6087
29.3831,30.6446,78.8645,89.8574,86.8196
26.1942,34.5096,40.5934,53.4522,58.9018
88.3913,22.9075,35.9998,88.3063,86.1858
80.7466,72.6406,39.9159,89.1425,95.4699
82.0578,32.1309,84.2241,48.0919,86.8534
80.8046,18.8814,45.1344,37.9335,66.0193
82.2401,92.1126,38.6795,58.5117,87.524
77.5017,31.5599,88.1335,84.6982,91.9027
