alpha,beta,gamma,delta,epsilon
-24.7337,-10.3644,9.023,31.1141,26.5494
-45.6197,13.2392,52.1596,-0.3884,18.447
-49.69,33.028,-10.8049,20.25,31.2985
-15.4264,-31.1965,21.2357,12.3734,42.8653
-15.7922,-10.7983,24.5786,1.4716,15.1124
-47.3218,-11.6381,11.3565,47.7894,36.5358
-6.0711,50.4509,23.836,0.2304,44.4492
-39.8507,-5.1008,34.5479,15.3982,24.9314
36.8766,5.9632,1.424,9.4448,14.94
-14.0859,8.4068,17.4339,25.4452,41.0726
10.1732,-14.9807,-15.6438,16.6974,29.8808
41.3818,-26.1214,43.7295,-13.0994,9.7545
25.0359,-36.7724,47.5161,36.3961,57.6925
-41.1889,46.8473,50.8829,31.0104,51.0543
-21.2238,8.3568,20.9553,41.8733,42.3025
-7.4982,2.7717,-4.9262,41.8541,11.8784
-33.7761,31.0397,6.5019,-0.7758,3.1259
13.7714,-3.4962,46.7215,50.2087,9.0492
45.6794,-21.7821,47.3649,33.4089,44.1478
-17.2959,26.9915,-1.7775,26.9626,27.963
48.8381,-12.5345,8.965,35.9813,48.1261
-24.0257,46.8514,6.7244,24.1622,27.9682
-17.3538,26.6442,-17.5601,42.9117,2.0437
39.4258,23.2026,40.478,39.3817,51.8907
26.4366,32.0196,-0.6191,24.959,18.4357
-31.9648,-18.1317,4.9384,-15.2114,52.8839
-45.0432,-16.8247,1.0545,10.3838,39.9849
-33.714,24.596,43.3767,22.4721,42.4079
41.6888,-2.4112,44.9001,21.1592,39.6945
25.3674,-6.2853,-7.2336,-14.7458,49.1569
30.8745,-29.4851,-1.3903,18.242,51.2674
-34.4032,-18.34,5.2029,36.713,41.9439
-8.4945,-16.3472,21.7389,-11.0057,-6.6513
-17.6222,43.7988,-10.6523,-3.137,10.6061
21.1903,29.8331,1.5754,35.9346,29.4436
47.963,-14.7532,2.8563,27.5198,11.7416
16.5657,45.2876,33.1887,-16.3658,10.4655
-22.9888,-26.0675,35.294,20.7927,19.1207
17.3121,18.9661,-25.4743,20.5372,13.4969
6.0779,-10.1472,19.0301,20.5355,47.5067
-9.766,31.3425,24.932,49.9754,51.2774
-4.4349,16.1687,-10.3594,30.8095,53.7475
-11.9456,15.7891,39.5435,-15.0678,42.8581
23.4564,16.957,42.9684,3.5955,-3.0329
35.1253,14.2402,-23.5202,1.6469,40.6217
46.1384,39.558,30.0241,39.2433,41.8919
-1.1983,32.0859,26.4091,-10.3006,42.4276
37.5713,11.1413,-14.5873,-6.8848,23.7928
-14.8023,-12.3814,30.5928,-9.3655,25.3956
21.8321,29.1257,12.0751,-3.4931,9.155
-12.0713,-17.3114,33.8423,8.6323,36.8981
3.0373,43.8736,46.6626,40.0523,2.3962
-45.5253,-16.7697,1.7294,17.1098,32.8098
-48.407,24.7607,36.6813,35.8222,9.621
-21.6091,-18.8198,12.4535,24.6854,11.0939
-22.2301,-38.0761,25.1444,23.1556,25.9412
23.5296,41.5739,53.2389,41.2641,12.5007
-20.257,21.5194,40.2853,25.0794,40.409
-21.1902,22.7881,-27.9199,24.0222,22.9338
37.7,-27.708,43.3037,42.9059,31.644
-13.8479,37.3138,-6.4046,31.3681,11.0908
-29.1303,-36.3002,19.7756,18.6477,45.8998
-27.3925,37.9818,39.9545,-6.911,32.5914
39.8796,-11.627,31.1531,23.2628,41.0047
15.6984,-24.6744,-20.1772,-6.8861,54.6626
29.6093,51.1058,17.2771,50.5315,24.3468
20.325,14.2844,-5.4496,11.043,-1.8941
47.0931,24.8256,-14.2028,31.6081,18.1116
13.7701,-16.0793,-7.364,-8.5023,45.2942
-9.3184,24.2123,0.409,-7.9122,20.5932
-24.3837,27.1516,-14.4474,-1.7083,-2.9054
-0.3597,2.679,43.1926,-6.0263,17.6801
14.1423,-38.4503,-28.3546,50.8095,56.2968
-9.1356,9.0108,50.6336,5.1164,13.9519
-39.1171,16.8156,-23.9244,-7.9508,24.0052
-22.0732,-36.981,-25.7006,4.493,-8.1539
17.7271,34.9055,-18.161,-12.5741,41.7207
-17.1907,-0.6471,48.4999,14.7863,-3.9906
27.5881,19.7572,-3.3474,17.6104,23.322
-17.3724,-10.8732,44.4601,34.5039,50.1862
33.5661,11.5351,-25.2626,20.199,54.7142
16.5441,-32.3107,18.4622,-19.9366,40.0465
-2.7416,-28.1846,-7.2363,26.122,41.0286
29.3873,26.1915,-23.2322,11.9165,8.4635
-23.4404,-21.2958,31.9427,16.3427,4.7672
0.8175,-1.8052,-18.4698,1.821,-4.1524
-22.2166,31.7805,4.6392,-5.6276,-6.3222
-3.0607,-2.274,-18.8899,4.3773,28.748
49.0488,5.9204,-17.985,53.1094,21.62
34.4193,17.8671,-24.3946,35.9812,55.652
-43.3371,36.191,39.0051,13.9974,43.2309
-42.4081,22.7735,10.7055,50.2633,21.7799
-43.1647,-16.2503,12.0184,22.5746,27.6319
9.2783,14.6667,13.5138,21.9742,29.9625
-42.7199,-27.35,32.9198,-3.5733,43.2203
48.9572,34.6096,45.4671,-1.1147,34.9554
41.7163,-24.7578,16.7729,39.0415,-2.7414
-37.365,11.3768,32.2413,15.523,-0.8256
-20.8617,22.7137,26.1507,4.9593,37.9728
-34.0507,0.3247,26.5558,22.8231,34.8783
36.4999,50.3332,-16.2692,53.3034,-2.1298
24.7836,-29.1423,-25.3784,54.687,51.6636
-28.7365,10.8529,7.6584,4.7664,1.7985
-8.1666,-34.0756,19.2415,11.2421,-9.0204
-45.9254,-21.6246,15.7083,-2.0729,55.1475
-46.0137,-27.9796,31.2129,4.2477,57.5226
-37.596,36.7515,47.9634,14.0842,22.7033
-14.8021,38.2286,25.8287,17.1636,18.2211
42.9113,4.1943,-13.5136,-9.2039,-7.5898
-22.9893,24.337,1.1315,49.5384,-7.6096
-31.6669,12.288,1.3772,30.0481,11.8053
-39.2902,37.199,44.049,11.8167,48.9033
-38.4714,12.5307,46.7851,39.5418,6.943
-17.907,-39.8928,52.2582,25.3188,4.7954
-10.1612,-30.8986,-7.1848,38.1562,54.6333
2.2843,-21.1705,24.161,-8.5206,17.5409
-49.1413,27.9689,-15.2361,15.6194,51.5168
-22.9121,-18.7928,26.4544,41.0462,51.2482
0.5072,44.6387,5.4757,31.5509,3.5397
-11.602,47.1608,37.2044,37.564,45.5421
-10.2096,34.9126,-16.1483,0.5356,-6.1969
-43.8461,7.4948,17.3351,-10.6942,-3.1735
46.3725,-34.6569,-19.8073,3.9847,13.2048
-43.8449,1.5666,-10.1299,14.9461,16.6863
-16.3092,-5.7709,10.235,11.7944,52.3884
-28.8361,-27.1783,12.7481,17.2676,-2.9433
-27.6315,51.488,38.6808,0.0906,29.5297
18.2396,40.7159,20.9736,-1.5623,-3.11
0.1585,0.8862,46.2731,8.2776,15.484
-0.6513,45.1976,-22.9991,-17.693,38.3323
21.051,0.1512,-29.1321,22.799,2.7329
-34.4646,18.4111,-29.338,-7.2601,24.2177
31.8585,30.1142,5.0707,31.0955,54.0195
0.0464,34.1298,40.3884,5.8968,12.5719
-5.4525,26.4754,21.7034,-5.4026,5.7173
15.6789,15.582,12.7418,-15.5367,-8.1174
42.2059,-38.1165,12.9866,22.1197,22.847
-19.9267,5.971,20.2714,48.8356,-6.1996
-36.3279,-16.5751,41.0581,49.1594,50.5866
43.3177,-37.1343,-5.3236,-18.021,-0.8306
-35.5504,-11.4012,-21.7602,-13.0238,57.0166
1.499,2.7808,6.65,-14.3444,36.4399
-16.3309,27.2118,21.8927,-2.7003,-1.2381
-0.286,12.8063,-17.4029,-6.3684,42.7701
42.6342,49.1864,53.0411,49.2806,48.789
49.5064,43.1835,10.1508,-4.8481,52.5579
-10.5212,12.7639,-28.1045,34.7572,-3.0934
-32.1717,21.4234,32.7245,5.4255,54.4059
37.5123,31.2724,53.8132,24.1059,44.7645
-47.5466,51.8755,1.7625,51.1496,23.389
6.5641,-31.3379,-6.7472,32.7166,18.4053
39.56,20.8273,-29.2144,-1.1548,10.0678
25.847,28.6213,16.4278,26.3054,33.2038
22.0113,24.118,-5.0453,12.3055,22.3525
23.7434,-34.2587,1.2424,39.397,42.3225
35.0019,-6.8106,36.8032,51.0154,51.1089
-16.7084,38.3299,-10.9166,32.5266,3.9211
-49.8653,-32.8659,-8.894,45.4563,50.2644
38.2525,6.91,-8.4894,3.1225,36.8515
24.1673,-28.6565,30.5076,18.1063,53.7482
-0.0745,-16.0926,45.0559,-9.6556,-3.6364
-2.8464,-32.9296,-28.2495,-15.1911,36.9372
-3.052,-22.453,46.4911,-5.1135,18.6089
29.7412,-25.38,50.2708,-3.0728,20.6558
2.6715,-37.0155,27.1618,26.9482,8.9733
11.9338,-22.7626,-22.7317,36.7599,5.5274
43.5177,4.7467,41.6487,27.0339,-8.4337
48.0387,-33.8264,51.0387,40.6417,11.4525
47.0624,25.2233,31.571,-6.9142,39.8179
14.5951,48.4367,26.1045,24.232,-6.855
35.2739,-28.0472,38.6323,45.516,33.502
-2.402,-34.3643,24.6289,-1.9216,52.6235
-22.8725,21.5856,6.9834,9.0192,-3.2423
8.2029,6.4393,18.5239,4.7004,13.0801
34.382,37.3065,-4.4566,28.7845,37.0905
22.3138,28.8202,53.0183,2.7778,39.9122
-38.6637,49.8464,-26.3313,7.7082,-8.3327
48.3678,-21.8474,33.8494,-7.0356,14.3375
-34.7652,2.0338,15.5705,55.234,52.3672
-28.9756,-9.8701,-11.8643,16.1665,34.2692
-7.8399,6.9852,11.1869,21.1809,0.6636
-38.5828,-26.2743,23.7293,37.5909,5.7759
-7.0638,-14.3227,-19.0208,8.0625,5.8408
27.477,41.035,47.5807,13.1056,32.5024
-38.6265,-9.6049,-1.9596,17.8532,17.9743
10.722,-9.6369,17.1343,3.4268,-6.1978
-5.277,-30.2377,39.4285,32.8785,12.9439
10.4879,-28.476,48.046,13.3004,4.8288
-26.3404,46.2133,31.7761,-9.0016,24.7497
8.815,43.232,48.4055,-11.4168,53.6297
-15.6501,8.8904,-0.5535,48.4428,51.6426
18.0095,31.5218,37.9715,18.3069,-2.3951
12.7727,-22.6028,4.1879,-8.8643,29.0312
-48.5133,10.616,33.8738,6.297,48.9303
-5.2754,50.046,3.2874,-13.9175,-6.6093
-20.3709,-36.0904,22.8389,-9.5732,30.0781
36.5259,-14.7769,40.6217,33.7003,45.8611
-46.796,-17.453,-8.4701,30.4094,24.0069
3.9186,48.9187,38.8292,44.0221,56.2829
-29.6355,39.7252,26.9766,41.7671,36.4398
20.5099,25.2706,1.2407,15.2882,8.5358
-25.9603,22.7388,-3.9821,31.0611,48.8966
-21.9893,-36.5753,29.5872,3.0822,-3.0672
-38.0429,-3.5879,-19.5699,22.7063,27.0755
23.0722,39.4226,19.0907,14.6781,27.4355
41.0255,-6.8246,31.4315,-10.1443,35.8238
-17.2437,28.2953,45.4658,22.3069,26.6209
22.1842,22.9981,43.2319,1.9494,28.2211
48.4761,-17.7477,49.3888,49.7706,22.6468
-0.687,-7.0061,19.0635,-4.3133,49.5879
47.0162,39.017,-26.4661,48.5798,2.6072
-38.866,14.6388,-26.5027,10.9854,-8.5513
8.654,-38.7237,24.5225,18.3596,21.1478
15.2417,-26.4519,-13.9303,42.5534,49.5096
-28.8886,44.7068,50.8188,-0.3126,26.9392
-45.993,-38.1718,-4.6071,53.7295,20.8384
-0.0714,5.1996,-0.9914,-17.3563,26.9692
45.8941,-24.3028,-1.5088,32.1694,12.5008
-3.8682,34.7001,21.3977,49.0776,51.6329
-7.0991,-18.9749,-0.8222,28.0364,23.9614
24.0526,39.1676,31.5018,33.8373,21.7171
41.8915,-3.53,-2.1106,-2.6119,47.0402
-46.8652,-15.4794,45.7133,-12.3631,30.4604
-16.303,5.7115,21.5606,26.9757,-0.6332
19.2028,-8.4839,-7.185,5.5226,55.9573
-14.0083,1.0864,28.6343,34.1118,22.9809
41.8942,-17.8103,-9.9655,-0.6917,31.8763
44.8795,13.6711,25.2067,9.9487,9.9699
-39.4435,44.9418,3.826,52.1268,19.1425
-13.3253,-21.5054,-27.8858,24.9002,55.7155
-49.0978,-5.1244,34.1291,35.0395,39.8418
-47.7835,29.2615,0.1276,-11.9036,23.4516
28.9359,24.55,11.35,-16.409,33.7482
-30.1798,19.8097,-28.4655,-5.5734,3.8191
35.6326,45.4296,24.5425,40.5455,4.0229
29.3641,10.0834,35.8123,-12.8682,51.9085
-28.0591,12.1792,50.6413,48.9059,16.7141
-11.877,-5.3677,-11.1075,-10.2766,4.9396
-40.2714,-7.0146,46.4649,-17.2511,12.516
36.6458,32.442,53.166,52.5562,15.2243
-4.3249,3.2481,39.2308,-0.0899,-6.2146
-14.1688,45.2776,16.9451,-15.9608,20.2273
-39.9802,-15.5575,29.9134,11.4682,56.665
29.5729,-4.5158,-27.815,-6.9351,49.006
39.4155,20.1781,37.828,16.0473,7.2941
7.2559,-13.4214,34.0318,10.762,3.5272
-9.228,19.9001,-23.9807,-8.1081,20.5455
8.6975,-1.6015,21.5616,53.583,3.9166
6.1353,40.8073,33.0812,-16.2047,53.3944
-47.9224,-16.0751,-20.7269,35.1286,1.2072
-25.7518,-2.5847,-18.6855,-14.8952,21.1392
-29.4118,43.3678,25.7902,21.7444,44.0491
-4.121,-16.2046,18.5044,13.5823,10.307
35.3826,-18.7849,-13.9121,53.0341,3.9181
-2.2883,20.363,37.3263,12.0926,34.6584
-9.9339,10.8107,14.2147,-4.8603,33.597
16.1548,-30.2362,44.431,6.176,2.3619
-9.8651,-36.1572,14.9569,35.1354,35.682
-23.7443,51.5032,19.1816,10.5185,20.7265
18.7953,-10.8505,-4.1137,11.4387,9.5121
-24.177,-19.2918,-19.3101,43.0917,17.5821
4.0868,-7.232,-7.7829,-15.9801,53.1139
-20.9886,-7.2215,-26.3715,-15.8936,24.8927
29.5816,6.8102,-14.3094,5.0748,6.17
-34.9838,8.7825,17.4047,-14.2386,-8.6549
1.6265,6.1948,36.3643,-3.1751,0.982
-38.785,11.7378,-20.0639,49.0002,39.768
0.7441,-30.5349,-16.2608,28.9573,27.8579
-29.0693,-20.1526,-28.7688,42.0088,57.1333
-31.0758,-4.0331,13.7349,-14.5066,1.9258
24.3534,-37.2866,41.6373,-0.8075,12.3089
2.161,-23.1128,-0.3474,-2.8457,-7.5821
-15.7342,20.2326,52.0007,8.7039,19.6366
41.7053,-9.5962,-2.2779,51.1751,47.6917
-41.8907,-34.9108,31.2682,16.085,26.2944
5.0411,-37.3054,42.1498,55.0479,49.1917
-6.4358,-2.5548,9.065,48.4604,22.3195
-15.6856,-22.8809,47.4794,2.8929,18.7094
-37.0497,-31.8484,28.3386,29.0105,34.6871
29.6885,-18.4991,36.0667,55.3958,20.0472
49.4045,24.7655,19.8083,28.6571,34.3619
0.999,-26.6337,24.9215,9.6369,-8.5571
37.6125,44.8746,22.9561,43.6058,15.5716
26.8572,-25.4127,-21.3175,5.1722,20.0384
22.5571,39.7291,-26.594,47.7498,23.1315
16.1835,-31.5139,38.2414,14.5417,12.2761
-33.4863,-17.8526,-5.0201,44.3836,49.6178
11.6441,3.221,-29.8977,38.2287,53.3409
1.4585,44.8704,31.9477,46.7863,-1.4293
-45.6745,-1.8585,47.3903,-3.504,33.7126
-48.7334,14.283,24.8154,-19.194,17.1804
34.2263,-17.5133,34.4633,33.7211,52.2998
0.4135,-38.3429,1.919,32.0391,42.4051
6.0479,27.0241,-15.6339,36.5481,-2.9411
-47.7479,-21.4945,-9.4738,2.379,30.899
0.6463,47.4185,-26.7037,52.2136,-7.4734
10.1958,-4.1861,-4.4583,15.8976,36.3383
31.8327,37.7758,36.1365,-12.4285,39.0502
-38.3611,23.9244,15.674,42.3012,38.4143
5.497,-36.0307,28.5487,7.5713,53.9556
21.1843,33.0114,-2.2734,23.7812,-8.0649
-34.3957,17.4452,40.4303,7.5676,49.4284
-18.0791,7.0097,40.9585,6.8749,45.0358
-21.2932,-15.4498,45.8483,-5.5728,17.9462
-27.1816,14.3836,-29.4154,30.0566,44.2258
36.2237,22.2944,14.6586,-12.1738,0.8505
1.2653,35.1949,-23.0691,-8.7068,16.7916
-19.4491,-17.9126,4.3929,-9.9,46.1468
35.8118,22.0304,26.692,-16.5919,56.6254
37.0192,13.1649,52.2671,34.7734,14.9688
42.478,-9.6956,-11.3792,54.4868,-2.6207
44.7029,18.6564,-19.9935,32.6743,55.7466
-33.6054,26.9388,-25.6801,-15.1932,-4.0991
-15.3087,6.734,-20.6878,-13.5155,44.5994
-14.7036,14.1831,-2.3398,-17.9308,35.7749
45.622,-18.4903,-15.4322,22.3555,39.7605
15.3929,-28.3386,-28.8063,51.6577,4.7996
-33.0674,-0.2816,39.8492,1.2931,44.7347
-21.6465,13.2328,-5.1315,38.018,3.9581
23.2049,33.1156,20.431,50.4855,30.7726
15.1602,-22.9913,53.3445,7.2134,42.0884
9.5797,41.7052,41.2143,29.632,48.3068
9.778,32.2742,7.634,-19.4984,30.0115
16.1495,-10.8418,-17.1637,22.4302,29.7853
-11.4143,19.8417,19.2638,48.9917,29.53
44.4429,29.2857,-8.9533,15.3737,-7.6392
-25.6922,34.0011,14.8159,0.1402,49.0996
-44.2541,-20.6614,-0.9323,28.7907,-5.5526
-37.6997,50.0041,31.8828,-19.8988,-7.7465
34.249,-22.4265,45.2753,-5.3807,43.9571
-30.1083,24.9839,22.7552,18.0567,-3.8394
-6.9524,-35.5421,0.7252,32.8887,17.8872
-39.4697,-15.8771,-9.9256,-3.7067,43.9716
-39.8307,36.1295,13.5252,31.0247,43.2322
-22.1352,-35.906,-12.323,22.2286,28.9938
-19.4717,29.4655,49.7765,12.2741,20.2902
-14.697,-11.39,47.038,39.9955,-3.3922
15.6985,-1.6812,-23.6184,52.5169,56.9117
-34.1343,35.3429,22.6106,27.7656,5.5963
-44.026,37.4177,30.8626,-9.3304,8.6117
3.8764,11.1261,52.7352,-14.2275,54.4914
29.3959,23.92,-19.5965,-6.3348,24.3247
-40.3111,10.4947,5.3592,32.4371,26.4006
32.1089,-39.2707,22.9593,-17.4714,-2.0553
28.3754,6.4454,-21.0152,8.0425,17.398
-7.3521,20.1316,-23.4333,48.6308,13.8153
-15.5039,-33.7274,17.8602,-3.2709,47.8347
31.6337,-2.5523,18.8019,-15.9616,17.9513
-27.3321,32.3021,-8.7598,-4.1155,3.4874
-44.4694,-25.4998,10.5879,30.2617,44.5924
-26.5877,13.0616,26.9803,23.7017,16.6154
-17.1572,31.6111,42.5603,55.917,16.4608
9.522,-20.7183,-10.8106,0.5302,22.4136
-13.2105,42.735,7.9863,23.8005,4.812
-15.9427,-18.6799,-25.1264,42.8069,40.3138
19.075,-21.6241,41.8718,34.9277,-9.8974
8.0871,36.2282,18.7692,16.8211,10.0644
11.0919,36.3792,-1.592,22.7911,32.0892
15.5074,27.2883,5.2614,48.582,0.7884
45.1407,-4.9742,43.5818,-17.2562,21.0199
-31.3263,-21.7861,41.8344,43.6688,21.4971
10.3854,-4.529,38.7007,18.8997,17.2258
-34.1526,45.2959,12.5609,-17.2836,31.6195
30.2612,-6.5236,3.0226,3.7951,49.8162
-47.6137,33.7701,13.0075,41.6415,-0.3417
42.8235,-13.0975,44.462,-8.6052,-1.8121
35.9508,-31.8428,-4.3251,-7.2294,22.316
34.7692,19.2249,27.1993,-17.9535,26.0037
-3.1467,16.2491,-23.7163,9.6849,5.5312
-7.7104,-36.9764,23.3641,44.6043,4.123
-27.961,-13.1892,5.3329,29.8709,33.5139
40.8157,42.2543,13.8269,-4.0474,-7.8378
45.6908,-25.64,31.0462,35.9192,13.4488
45.1509,29.2172,9.549,-15.3707,26.4871
-13.4148,-35.5327,14.6313,-17.1661,47.0072
-22.8833,33.5431,20.8757,-14.4616,20.5092
8.4627,8.33,10.8834,18.7932,18.1033
45.3691,2.0767,-22.8147,-14.8209,31.1687
22.3315,14.5494,53.1757,43.0241,31.5383
2.0051,13.2419,-23.4627,9.3221,10.5352
-16.8415,34.3054,32.788,46.6803,-0.0662
41.0867,-22.3261,10.4303,22.7802,42.4241
18.0979,17.0902,15.0881,51.6102,17.7844
-16.1991,23.0157,-28.5354,30.1741,-9.6108
48.3735,13.1252,0.9715,46.5378,27.5236
5.7459,-22.3928,15.8822,-7.4412,8.6926
-33.7225,-29.2656,4.5267,-12.8644,11.0114
-45.5394,-16.9125,26.0777,-19.5944,15.3048
-29.1182,34.2317,-8.5809,35.1245,53.5409
-3.5682,-3.7975,-22.2911,52.6151,32.8173
-30.4076,4.8878,9.1743,47.4187,33.3971
45.6599,11.6083,42.3904,38.0234,4.0965
-12.0273,-19.1944,-28.3311,36.2235,35.5055
12.5038,35.7419,-22.7241,-0.1843,46.8864
-3.2173,-21.6095,-1.8842,-8.4683,22.2723
20.2057,-37.5816,-1.6223,-16.2654,26.5126
18.282,39.945,-18.2079,-16.8469,48.8543
21.6136,-15.2371,-20.8301,14.3546,28.1014
-2.0629,8.6142,-13.2744,32.145,39.1678
33.0844,-8.7898,32.5363,1.0224,21.3505
-45.8016,46.655,-8.1906,26.0556,0.4626
-44.4971,46.4074,-23.5592,40.6155,52.2559
41.7278,43.144,38.6722,33.4944,22.4195
2.9276,-3.2724,1.8796,2.3595,50.625
-43.7571,42.3277,36.2097,36.3896,1.5052
43.1901,44.5079,-5.4838,-4.8426,25.9409
25.163,-30.8418,5.3515,21.6712,-3.3329
24.1733,-39.1629,8.9448,32.4742,47.9271
-35.0771,-31.9235,-27.3625,-2.5273,24.7381
-7.6188,-29.5395,-14.3429,34.2667,0.9009
-17.1493,38.9257,44.7269,39.8659,44.9571
18.3462,31.3085,39.8144,43.6004,21.632
24.5798,9.1517,-26.9331,-5.11,16.991
39.1424,37.7625,5.381,18.0279,-8.8174
16.7941,-39.4767,41.0368,14.0923,20.253
-9.9133,20.8554,-12.9669,-6.5015,-5.184
-31.3867,51.2676,-11.6166,16.1336,11.6417
0.3086,-30.7576,-5.4233,18.0229,-5.8316
29.1584,28.7737,14.7903,16.5663,19.5826
18.5086,-15.779,12.4478,-3.0335,52.8161
13.4558,-36.9174,43.5988,-12.3511,34.3269
-28.9364,-32.8483,47.0433,17.9776,44.2746
-43.8202,46.635,1.9912,24.4501,-5.5851
3.0712,45.3782,-2.2981,-13.1337,-1.6121
-49.3347,35.9512,-9.5711,54.5561,56.828
-2.6566,29.7868,3.5927,4.3517,-8.0346
30.2404,-1.6055,33.4055,-17.0707,-8.4567
4.5626,25.9838,14.9817,35.8482,26.046
37.9457,26.1466,-17.9521,-7.1106,0.3811
-23.7339,24.4369,-22.813,20.8962,33.4982
-41.9789,47.7171,14.0401,6.7941,25.598
10.1599,14.9843,-2.2207,-15.2904,40.8378
21.9165,-29.3384,11.4028,-7.7777,11.036
3.3609,-35.5515,16.14,39.9774,32.2243
28.884,-7.0268,27.2289,9.442,43.1705
10.1407,-36.2866,-26.7647,-15.0937,48.3397
-25.5201,26.1297,7.6054,45.167,19.7703
48.157,12.3598,49.55,3.8475,1.9331
-20.1953,19.0462,-23.8457,21.3746,57.4892
46.8088,-37.7322,24.9842,30.9239,51.4777
-42.6162,-1.8693,3.3078,-3.9883,48.0324
46.1002,35.8157,3.0373,38.9287,23.164
-24.7535,-27.1803,51.2491,29.1129,10.8049
-11.8348,8.4332,-20.7278,10.5296,17.7629
3.1144,45.1916,25.3424,5.8348,29.1697
-47.0386,39.8157,21.295,54.6618,20.2292
9.3197,30.1457,15.3035,49.0707,23.9651
27.7418,-22.0372,-24.447,11.1639,26.9466
5.5912,-38.1644,34.8422,24.3185,26.8023
2.7532,-2.1458,27.7511,7.0383,-8.0091
32.6688,-39.336,18.9382,42.6099,-8.8909
9.0851,-11.3884,-20.0441,-4.7757,3.1132
27.5028,27.7177,29.9987,6.4965,19.7353
16.6062,-5.518,-6.1964,55.4601,55.1226
-0.0906,-20.4164,29.5328,41.8831,-0.0792
29.6433,-4.4387,30.6646,-2.3178,29.8942
34.3889,-33.4749,26.8262,-19.0246,-4.3832
38.5323,-4.1054,-24.1396,-12.5699,46.9518
-23.8539,6.191,20.1289,-1.5802,-7.961
-36.4023,11.0465,3.2415,-11.7066,46.0295
-10.6831,40.5691,53.8682,31.5733,39.8653
26.9348,32.8086,-3.684,39.8616,33.7728
-27.1069,39.5922,-26.6228,34.5415,0.0233
