alpha,beta,gamma,delta,epsilon
490.8293,526.0846,603.0331,605.6732,409.3701
468.3194,367.6365,626.6275,673.521,388.2579
363.4431,629.0931,601.258,498.4529,411.9243
443.429,552.8404,479.7808,410.3242,670.4433
568.8771,486.5071,430.7717,512.7895,695.5071
382.6336,647.4068,524.7964,562.0355,601.7802
237.062,465.8614,550.3789,556.2228,463.1531
557.3593,478.4146,499.6705,538.8122,627.5084
359.4174,386.6106,552.3502,441.7578,725.7656
399.1597,387.3459,623.9884,764.7897,321.2015
465.4608,677.8398,584.541,387.3289,711.3085
459.5217,482.8618,615.046,229.7879,641.484
550.4663,616.7628,390.4096,503.9744,384.5981
444.7389,628.8094,464.4642,725.4432,616.1373
609.5986,395.6635,505.8665,647.2973,347.4364
567.7862,513.5411,489.7658,415.2653,502.0895
430.0186,503.6667,427.4547,519.0835,552.4828
504.3663,545.5888,562.178,355.5533,459.0272
527.3552,434.3732,664.5814,676.8541,318.969
494.5448,489.9403,711.1127,549.4921,358.1224
594.5365,594.63,568.0419,460.0166,439.5871
555.5334,657.9168,471.0959,367.5967,481.6454
640.6076,477.9293,573.6544,508.3212,450.3508
697.1007,535.7224,481.9772,620.57,526.0914
513.0427,634.7434,527.509,474.5395,615.3803
524.949,588.7862,409.1779,835.8162,404.109
549.1656,332.7169,366.6613,609.8278,1015.4661
690.2189,496.9867,314.2579,605.4769,636.1151
564.8808,559.9789,616.7835,581.073,489.563
645.346,567.0824,317.8054,344.0184,501.283
320.5938,599.2694,489.2113,513.3894,747.5189
341.3757,707.506,567.8918,550.032,289.6523
627.1769,651.4644,419.7701,513.908,321.6126
533.5467,693.1977,567.8711,683.4275,707.6299
546.8338,597.2463,499.8856,439.2977,493.4176
429.9016,396.4492,552.0068,552.66,656.4457
407.0001,565.8367,583.8354,563.091,581.7949
418.4841,359.4066,579.1794,619.7935,466.2274
332.8934,517.1605,395.5555,546.4003,540.333
423.9044,659.596,535.6588,529.85,402.0372
583.4003,496.9048,732.8546,544.3298,604.7942
691.7833,502.6262,660.3916,597.7352,744.7168
812.9036,476.1542,652.0632,580.8754,398.6914
598.1721,447.9612,564.6586,547.1425,614.0596
488.618,470.4667,445.5083,729.145,361.4908
365.0985,474.456,614.854,382.4204,538.5116
