alpha,beta,gamma,delta,epsilon
47.8386,57.0606,67.885,94.7417,87.0655
27.5397,65.6494,64.9206,75.4439,92.6654
53.4845,79.7805,82.4761,82.3207,73.0186
34.7801,64.1878,94.9105,80.8748,87.5546
57.9766,35.2897,64.0667,90.2976,110.0883
46.3906,66.4022,74.7161,96.4289,64.3959
58.5238,34.2532,20.221,67.2553,68.9364
63.1402,71.2925,46.8376,97.7946,66.9493
48.7063,55.0037,72.174,97.1914,104.6835
55.2483,71.0491,79.0913,66.8333,73.5005
42.9505,68.4885,65.2478,129.0508,71.1563
33.5169,73.064,97.0151,90.6195,109.2238
71.3952,58.4015,42.9638,68.8264,111.9166
28.3448,60.57,74.8115,73.3726,106.6435
58.7117,99.4639,81.7794,67.2025,77.0787
37.5263,76.1887,59.2302,78.5245,107.234
39.1481,55.0078,35.0156,57.2679,76.9421
56.2364,80.2894,69.6491,85.4886,93.8633
66.2711,75.187,75.2002,58.7702,110.7779
55.7157,80.858,69.4318,121.0151,81.7458
73.8959,61.957,60.1909,56.3026,86.5263
71.3498,73.8784,83.0888,30.1067,106.3522
58.3378,50.6513,58.0797,79.9515,129.6722
34.1735,52.7273,95.8739,70.6308,81.6222
51.4666,38.8981,74.179,54.598,110.3596
50.0477,98.8183,75.336,108.6795,60.0249
48.1679,65.4935,103.1687,44.7008,112.7843
58.8703,86.0703,83.5353,81.0935,78.0021
31.2773,63.3222,66.3578,122.4256,75.9464
54.8059,33.327,62.4862,85.4841,108.9511
71.7215,59.2495,48.7723,89.6149,101.8907
57.3749,48.0951,91.5343,81.8458,106.096
69.1111,70.3576,75.4438,125.2087,95.6052
45.5605,61.9034,98.1726,82.493,101.9457
67.936,51.2814,37.1952,86.2879,95.2839
40.8798,74.8085,81.5438,59.1052,101.919
47.0584,34.7886,78.6061,79.0505,72.8585
57.8442,68.2976,59.0268,88.4074,113.3465
39.31,66.4751,70.0524,127.5862,47.167
60.4293,54.7938,68.0962,119.9334,89.8028
83.6142,52.4835,76.6597,69.6922,74.1142
50.9372,55.1963,73.8473,35.7944,136.0568
47.495,89.6294,50.8649,86.1432,162.7937
36.9541,34.5799,59.6163,89.9223,105.9468
69.3555,55.6308,39.5572,70.8644,118.5251
56.9849,26.732,69.334,109.3615,138.9106
58.4253,65.2581,46.4361,62.2919,91.0791
57.548,69.8631,60.914,55.8092,72.111
