alpha,beta,gamma,delta,epsilon
195.5023,196.888,157.8265,331.641,223.0449
158.2412,162.7921,308.5504,252.105,263.313
223.151,264.0856,182.1087,205.9584,269.7114
164.2223,195.7361,243.8503,278.0804,329.7371
173.4351,287.3244,199.4234,281.4368,275.1629
220.0278,216.5976,234.5269,300.8302,221.8973
130.7555,210.9431,146.2796,226.8712,305.633
245.8406,158.245,268.2881,285.0056,248.0894
120.1899,234.0459,155.2938,294.7381,141.7479
138.5712,179.7923,209.1814,217.6255,233.5238
218.483,199.6881,265.6148,227.2496,316.4309
251.9203,217.0266,325.5196,191.9551,252.7145
72.0176,165.0461,119.2622,235.0464,333.0885
230.3883,152.0463,257.0295,218.2746,288.4678
197.3572,225.163,245.3918,174.6762,243.5565
218.3125,168.0773,269.4114,272.4913,272.368
125.7061,107.5036,159.7373,229.8632,347.5451
141.6397,151.029,159.6997,246.3075,188.4451
253.6679,165.0994,234.1841,294.0745,307.5092
117.2588,217.9453,127.64,173.1712,264.2765
298.6798,204.9901,147.6364,282.6865,258.1305
176.5896,159.0588,297.4362,260.1504,215.7451
202.79,272.0918,155.6403,211.7659,279.41
136.5712,177.1653,291.1264,279.6063,270.6479
272.966,228.4397,236.4417,364.0832,152.8316
63.0254,179.3217,290.3804,303.7629,216.2015
280.8097,191.6281,222.3673,150.9688,196.2907
171.5847,152.4644,233.9623,183.8006,186.0996
280.8513,147.4238,239.6419,223.2956,201.7563
193.8641,151.8113,256.373,250.8597,245.91
225.5638,158.2785,146.8877,187.5697,220.6864
214.5317,235.3789,244.8116,243.3503,270.0568
161.4525,119.5205,289.3617,246.4613,239.2513
259.6023,199.1235,316.8448,198.7715,237.2776
283.9964,208.0221,145.2053,100.0105,293.9965
201.7759,315.7112,262.0449,324.4584,288.274
135.1508,140.0452,183.9364,174.7458,366.6203
190.6544,140.2268,195.7944,201.2575,186.4141
250.5307,139.9882,203.6047,286.4764,303.5628
205.2112,219.045,207.9583,232.698,264.0242
193.9363,260.0479,198.3334,235.5155,137.0082
181.0121,190.5418,248.5374,278.4432,239.6232
99.5311,218.5934,247.5309,203.6848,132.8011
200.2828,199.2327,240.4366,292.5188,227.8697
207.7118,207.8293,272.7876,243.3854,219.5578
214.536,289.7316,116.3483,262.0176,255.7247
303.9019,215.3375,145.147,124.8722,203.5
125.9303,284.1111,220.1035,249.3732,225.9246
242.0399,279.7717,261.8224,285.4539,313.8938
109.789,208.0117,248.4493,235.3141,270.6575
174.9841,211.7857,187.9308,167.1473,224.2235
213.1871,250.7598,235.477,210.1974,191.1347
255.0709,168.7185,273.528,272.5521,241.0811
200.7426,224.8517,181.064,241.4675,219.9155
203.7534,175.5344,167.7703,204.1931,68.0233
248.1912,183.7386,309.4733,296.6192,260.0623
201.0505,221.851,227.7952,223.7617,163.8502
220.3108,234.4474,258.1836,265.3341,172.1802
208.3989,281.5422,265.7137,242.7095,297.1991
244.513,228.5988,242.3263,257.6181,384.2003
203.241,151.3125,107.0883,321.6834,205.031
123.3671,246.3697,196.0499,296.6594,289.2781
200.5261,338.5653,280.9249,211.2314,280.9539
142.8857,217.9507,233.2229,259.2875,336.2402
175.512,278.9453,213.2795,186.0575,208.7571
239.5093,191.563,259.6609,171.187,159.2182
208.167,244.3462,256.2454,302.863,310.8698
138.4388,144.0549,358.6589,289.1233,117.2021
163.2703,186.9005,299.3107,235.6013,265.2091
213.4516,163.6579,230.1916,204.6532,217.1336
175.6654,146.6333,129.8446,225.3927,177.475
198.9781,140.0143,245.9066,327.5588,260.5597
161.1695,148.9916,216.1889,279.6358,254.3599
195.3118,226.9527,249.7624,247.6629,302.7448
164.0524,278.9093,152.5386,212.3708,166.3447
245.6696,253.7726,296.0235,192.6056,165.9697
147.9227,164.6662,141.2876,282.0841,131.5132
124.034,196.7002,151.985,249.6657,206.1515
211.0358,189.5438,241.8503,205.2022,245.4699
122.1047,218.4571,159.7513,306.0422,175.8687
163.0415,245.6602,181.6657,239.3271,151.72
184.9017,299.5515,254.6184,314.2486,162.314
185.3849,200.6658,229.6223,317.0634,255.2827
206.2176,262.812,325.232,192.0839,301.3273
101.8204,295.7,177.0424,221.6393,253.1225
169.0828,205.3277,289.621,180.1352,265.9485
211.2582,212.6994,166.9475,332.7969,189.7869
180.4828,170.8363,200.6348,159.398,180.8484
188.3014,138.0188,233.1856,158.1906,95.7719
149.786,226.2057,267.2386,157.0962,200.3759
209.8714,230.9873,169.9708,208.0204,144.8031
175.8972,255.9058,232.3084,208.5575,179.4229
150.5128,211.3048,125.8304,241.011,268.75
157.911,204.7804,329.4075,195.9452,166.3801
160.2296,219.4083,207.2407,218.7313,133.7968
171.0032,260.8412,169.0725,329.4576,144.4137
102.4428,152.3971,312.1378,219.3409,257.6216
222.8513,103.8593,192.6692,161.825,230.8401
232.4732,241.2706,282.1626,205.7645,243.8773
312.0287,216.2861,156.266,210.6128,224.2046
139.3941,263.0665,316.162,222.599,198.7971
174.6523,249.4091,227.0494,116.8047,212.1441
123.0343,216.5869,156.3091,289.6145,278.8963
236.4667,126.9029,305.0328,170.0088,212.5755
209.8069,224.0979,234.6846,175.9531,221.5386
253.5456,159.0805,175.8596,264.0721,213.3446
232.3001,218.7228,327.4748,141.3456,275.2611
187.9434,309.3892,250.7905,165.6006,127.7651
170.7076,284.3971,239.3706,296.6536,194.065
246.3219,312.5821,108.4976,210.4994,277.8294
185.726,252.6662,272.0808,125.8307,262.0325
139.6368,228.7336,216.3285,244.124,277.6312
181.4978,254.6658,237.1202,159.0208,296.5551
156.1818,235.2559,198.4959,266.9615,84.2823
182.5581,194.3066,182.2626,264.3708,190.1135
264.1682,151.5533,176.2423,247.6616,341.6308
197.4838,189.4899,236.756,195.4334,310.9161
163.0298,248.7791,214.9105,257.9319,227.5249
226.996,224.5226,253.2071,238.8889,283.4411
199.9192,210.5207,228.0367,265.2055,258.3263
184.909,137.3436,286.6165,145.2937,232.7509
174.516,171.8428,174.2276,261.785,148.204
275.9622,183.4774,229.4286,229.4982,264.6954
244.5317,247.2052,252.5284,135.1496,197.0709
217.4017,85.2082,229.0556,264.6527,293.273
120.6149,140.9357,227.2681,207.2012,226.8046
210.6966,140.3967,251.4968,342.9597,165.4683
217.2368,233.0415,298.4177,195.4432,317.118
272.1769,184.3597,222.3736,281.1025,194.9337
247.2831,273.791,146.0662,294.0771,218.903
184.9843,198.9457,277.8758,301.4641,257.3113
228.4028,231.9842,178.8792,206.7718,208.9356
201.4113,258.1236,303.8755,202.5018,254.4406
190.3439,312.0767,240.7905,171.9422,357.6334
285.3931,154.5745,341.7409,267.729,250.6412
204.4967,174.0869,240.6253,243.5535,263.7175
242.0162,127.8748,260.3521,298.3039,313.9299
159.1036,266.391,178.4378,237.5149,144.1555
176.587,238.1398,195.3987,223.9499,183.4438
182.8782,192.2567,113.2342,176.0812,272.3384
231.8087,201.3426,234.9385,257.0784,205.575
210.9809,175.8648,284.0132,343.6516,306.9915
138.3109,217.3766,242.2722,323.9366,320.9843
223.1749,206.9804,175.6725,249.2154,242.8896
120.1733,180.2135,163.2024,158.7232,296.5428
218.8449,225.0222,142.9872,191.8951,150.8723
220.3038,221.2723,306.0176,140.6179,220.6988
166.9629,245.4036,223.31,217.8931,199.0745
231.8276,233.9456,172.8465,256.1146,209.1014
283.6387,254.0889,142.061,264.5354,260.6841
142.7327,183.2378,268.8798,290.4446,200.0357
150.7266,175.3337,243.0133,228.7598,177.9978
199.4785,247.5305,313.268,176.3121,145.5444
270.0352,254.3308,168.9128,145.5689,300.8755
232.1353,193.6014,174.9048,121.8068,215.3962
254.212,349.5743,236.9082,211.601,275.7183
99.7384,193.2106,238.9482,194.1708,228.274
175.5168,182.8162,223.7155,231.3377,221.3543
209.9172,200.2719,207.9659,261.0139,307.6892
169.6753,239.6518,222.9382,261.2502,302.8324
188.3927,107.706,153.1426,163.2823,227.8726
211.9871,185.6246,230.3463,329.546,265.7341
205.5107,233.5827,215.3949,245.5209,223.2268
252.1093,102.8452,231.7036,302.3937,200.7396
250.5736,117.091,278.9108,240.692,287.6152
251.4059,231.0975,183.09,310.5074,257.1261
168.374,255.0607,215.0037,136.4483,262.6791
124.2902,85.3174,253.5045,241.8025,177.6624
222.5767,345.0078,278.6608,277.1436,362.2714
306.2357,243.3471,197.5692,269.0312,316.4519
157.4652,176.3617,183.0547,300.2223,168.8907
176.6613,264.0894,266.642,195.2772,206.7052
305.1582,160.4069,236.3231,136.772,222.1266
152.6737,157.5751,248.5059,271.5628,218.7171
207.5475,147.0447,204.7125,225.8273,258.6032
171.7273,203.573,196.8237,148.9862,244.9137
170.7498,307.2611,161.3389,230.3481,355.3622
207.1264,148.0752,234.6517,235.9561,264.6971
289.764,165.3611,176.7357,247.8283,255.4384
161.2181,144.5789,156.4782,244.5223,231.3328
252.1021,244.436,208.8386,152.4024,290.361
298.67,180.8622,249.664,219.601,384.2231
128.9475,113.126,156.1384,217.3178,281.1328
266.7416,247.5441,252.1119,245.5936,131.5589
238.4351,193.0333,214.4866,146.968,249.3458
296.7815,184.7603,238.3594,243.217,282.2577
125.9094,239.3382,213.8846,224.1393,169.6224
175.1072,246.5546,197.2809,190.3324,296.8883
262.6261,190.2677,150.1039,161.281,224.1408
139.7298,178.7527,175.6984,274.8263,173.0358
256.4161,217.9021,298.9598,193.3102,422.0276
156.7777,123.615,236.0452,214.78,341.9226
255.8785,206.8298,221.1467,290.3987,202.9468
201.2712,229.4157,130.932,249.6685,261.8686
201.1962,197.0013,298.2725,257.7917,203.3623
268.1385,157.3605,164.6117,312.1907,299.2011
138.4267,248.1684,257.9867,260.6873,173.6698
149.1108,314.3602,183.2611,230.2166,168.6073
248.4431,174.9299,289.0676,258.1355,309.0005
155.2089,223.493,229.2389,295.6602,290.8342
233.0609,298.0975,204.3001,219.3356,309.7899
201.4899,234.1119,192.0393,89.8262,234.365
265.4039,215.8798,219.9141,267.7722,150.9492
219.5628,201.039,275.0706,128.7718,237.148
211.6904,179.7696,209.6017,268.0038,132.3114
252.3415,219.2259,210.6364,289.2682,267.9774
301.7873,224.9296,97.118,222.9709,350.7529
227.695,137.2969,222.1517,208.7478,287.8583
310.9457,264.2184,218.2505,249.1575,355.7777
248.5159,218.5747,187.9303,238.8003,203.6816
264.0931,119.2317,238.8121,297.7604,237.5533
189.4654,303.4311,238.1667,211.768,303.819
164.2229,247.4035,190.7732,221.7947,270.9773
280.2512,286.2106,249.9887,234.7763,291.7544
171.7231,251.5222,112.3975,209.2955,234.9592
161.9963,203.0952,251.5104,268.1213,217.3495
197.9233,249.7757,89.0924,170.7043,296.7987
189.6274,174.6314,220.0222,224.5132,317.3063
212.5093,156.0958,133.8608,300.3587,312.0364
338.1338,275.6324,240.7345,200.3878,215.6154
193.7802,216.4801,184.9459,139.132,219.635
149.8287,234.372,193.7233,205.1443,229.8572
171.6451,240.8625,357.0585,119.8234,187.6147
195.8934,250.9747,244.3492,236.3903,258.4998
220.3153,226.4881,262.9776,287.5069,307.2672
183.5333,189.9118,261.9754,169.872,131.2855
194.3332,198.399,280.3234,381.0696,148.8628
194.4387,215.2718,236.8031,290.133,273.5379
234.5606,256.6217,202.3914,270.5882,208.9138
180.0278,265.4822,183.0046,177.6513,194.6036
186.3685,154.406,218.6124,314.5541,328.1066
223.4037,246.4737,230.9614,219.8731,274.9361
247.5655,105.481,211.7637,180.5378,257.3904
231.2269,245.9471,174.3258,215.7042,282.7147
280.1963,310.7758,239.3975,191.4522,170.0147
177.7783,264.4822,186.5496,233.4813,237.4326
246.1717,273.9836,257.9402,266.579,259.8076
196.5226,184.8954,213.6484,200.579,207.7183
257.2376,132.3049,254.6774,122.5386,259.6825
252.334,264.4081,289.4525,291.3222,233.1459
210.7402,110.9365,169.439,221.1276,170.4382
220.7102,196.2748,196.6816,257.6749,301.6234
228.205,242.6373,169.1078,238.8293,110.8188
205.652,242.3914,183.9281,257.1682,273.9564
220.4882,179.4163,165.0966,138.2952,233.1388
227.3436,302.2725,210.2223,187.932,246.9374
125.7865,169.5383,245.0915,207.4609,155.1497
223.7456,264.4067,261.6251,238.5307,245.5427
182.2732,208.0348,138.0473,301.438,188.2135
177.8192,208.1759,326.193,145.5782,195.4717
235.157,152.1013,347.832,304.9691,292.6888
241.6013,149.1158,209.0375,117.9959,235.8024
280.8325,242.2992,291.0563,311.4874,300.2616
226.5281,253.2394,267.4802,335.5106,173.7804
137.7809,198.8506,160.6805,223.8487,132.0839
208.2499,266.2239,235.1319,255.4785,280.7544
139.4432,288.1232,265.6455,317.7642,147.4285
229.5605,115.0389,289.1837,310.6282,244.5632
205.1466,179.1453,292.7453,173.608,228.8065
154.2412,263.555,135.86,196.592,145.0232
106.0308,219.564,113.3967,337.3848,166.2074
247.9677,156.6303,257.9127,291.2089,281.6152
242.2876,143.1104,111.0196,231.9616,158.0878
188.3728,219.245,212.098,235.3331,91.449
224.1389,206.2801,196.2307,168.8627,197.954
183.1811,181.823,283.3284,247.6817,229.5889
213.1515,232.5299,185.5731,302.5291,233.284
182.1356,189.3105,200.5212,292.0991,100.6608
225.8026,225.5035,209.955,236.1808,69.3036
199.7029,240.6406,306.7512,221.8933,253.123
193.6542,100.6557,262.9074,268.7052,252.331
257.4558,262.397,252.8048,333.6363,266.6321
155.1947,221.3245,255.8301,223.3896,245.4551
239.8374,184.1967,241.3474,274.0148,196.1701
225.4094,199.9516,311.7776,194.2818,258.3693
189.6565,205.4998,279.5971,226.4802,263.7386
161.0249,162.8481,189.1496,222.3519,352.7746
187.6743,177.5363,262.3356,173.6364,287.6041
253.7721,289.1553,205.1694,209.3118,248.1471
198.8107,150.1576,235.3341,277.1435,238.8586
260.3863,250.3385,292.5881,152.6059,302.5811
232.4933,133.8836,44.6475,189.0407,263.7493
201.6315,79.6244,186.1925,268.5207,207.2585
197.2091,234.6505,297.0514,247.7914,317.1703
299.4157,243.8292,251.1619,216.7353,249.1741
147.1259,247.7258,242.7126,209.5937,210.6585
213.8627,126.6649,176.5475,328.5191,305.9306
232.1886,210.7287,223.0043,138.8268,332.7118
192.3269,179.8285,182.5377,167.2791,278.0292
142.4085,223.0998,209.7021,67.6702,178.3932
212.929,191.6452,202.4452,237.3278,197.923
40.9167,222.7883,189.4612,315.363,262.2673
258.1271,244.4667,200.2421,255.5635,223.6951
