date,value
2026-02-16,63
2026-02-17,65
2026-02-18,65
2026-02-19,63
2026-02-20,60
2026-02-21,56
2026-02-22,54
2026-02-23,52
2026-02-24,52
2026-02-25,51
2026-02-26,49
2026-02-27,45
2026-02-28,41
2026-03-01,37
2026-03-02,34
2026-03-03,34
2026-03-04,36
2026-03-05,40
2026-03-06,44
2026-03-07,48
2026-03-08,50
2026-03-09,52
2026-03-10,53
2026-03-11,55
2026-03-12,58
2026-03-13,62
2026-03-14,66
2026-03-15,70
2026-03-16,72
2026-03-17,71
2026-03-18,68
2026-03-19,64
2026-03-20,60
2026-03-21,57
2026-03-22,55
2026-03-23,54
2026-03-24,53
2026-03-25,52
2026-03-26,49
2026-03-27,45
2026-03-28,42
2026-03-29,40
2026-03-30,40
2026-03-31,43
2026-04-01,48
2026-04-02,53
2026-04-03,57
2026-04-04,60
2026-04-05,61
2026-04-06,62
2026-04-07,64
2026-04-08,66
2026-04-09,70
2026-04-10,74
2026-04-11,76
2026-04-12,77
2026-04-13,76
2026-04-14,72
2026-04-15,67
2026-04-16,63
2026-04-17,59
2026-04-18,58
2026-04-19,57
2026-04-20,56
2026-04-21,55
2026-04-22,53
2026-04-23,50
2026-04-24,47
2026-04-25,46
2026-04-26,47
2026-04-27,51
2026-04-28,56
2026-04-29,61
2026-04-30,66
2026-05-01,69
2026-05-02,71
2026-05-03,71
2026-05-04,72
2026-05-05,74
2026-05-06,77
2026-05-07,80
2026-05-08,82
2026-05-09,82
2026-05-10,80
2026-05-11,75
2026-05-12,70
2026-05-13,65
2026-05-14,62
2026-05-15,60
2026-05-16,60
