CustomerID,Segment,SignupDate,LastPurchase,TotalSpend,Active
C001,Academic,2024-09-16,2026-11-24,12600.00,true
C002,Clinical,2024-03-08,2026-12-09,58400.00,true
C003,Industrial,2025-01-22,2026-04-15,19700.00,false
C004,Academic,2024-11-04,2026-12-02,9850.00,true
C005,Clinical,2023-10-19,2026-05-27,62300.00,false
C006,Industrial,2025-06-11,2026-11-18,23400.00,true
C007,Academic,2024-05-27,2026-10-31,14200.00,true
C008,Clinical,2024-08-14,2026-03-06,55100.00,false
C009,Industrial,2025-02-25,2026-01-13,17800.00,false
C010,Academic,2023-12-07,2026-12-14,11350.00,true
C011,Clinical,2024-06-30,2026-11-29,60900.00,true
C012,Industrial,2025-04-18,2026-12-05,25600.00,true
C013,Academic,2023-08-23,2026-06-21,8700.00,false
C014,Clinical,2025-03-12,2026-10-27,53800.00,true
C015,Industrial,2024-10-09,2026-02-19,21200.00,false
C016,Academic,2024-04-15,2026-12-11,13450.00,true
C017,Clinical,2023-11-28,2026-07-04,64700.00,false
C018,Industrial,2025-07-21,2026-11-22,26800.00,true
