Date,Product,Region,Revenue,Units,Discount
2024-02-05,Trail Pack,Nordics,1250,14,0.05
2024-02-13,Alpine Tent,Iberia,3400,8,0.00
2024-02-21,Summit Boots,Benelux,1980,11,0.10
2024-02-29,Trail Pack,Baltics,1120,12,0.15
2024-03-08,Alpine Tent,Nordics,3650,9,0.05
2024-03-16,Summit Boots,Iberia,2150,13,0.00
2024-03-25,Trail Pack,Benelux,1380,16,0.10
2024-04-02,Alpine Tent,Baltics,3200,7,0.05
2024-04-09,Summit Boots,Nordics,2400,15,0.15
04/15/2024,Trail Pack,Iberia,1450,18,0.00
2024-04-23,Alpine Tent,Benelux,3850,10,0.10
2024-05-01,Summit Boots,Baltics,2050,12,0.05
2024-05-10,Trail Pack,Nordics,1300,13,0.00
2024-05-18,Alpine Tent,Iberia,3500,8,0.15
2024-05-27,Summit Boots,Benelux,2600,17,0.05
2024-06-04,Trail Pack,Baltics,1180,11,0.10
2024-06-12,Alpine Tent,Nordics,3750,9,0.00
2024-06-24,Summit Boots,Iberia,2280,14,0.05
2024-03-08,Alpine Tent,Nordics,3650,9,0.05
2024-05-27,Summit Boots,Benelux,2600,17,0.05
