quarter,gdp,consumption
1,2435.5149,1583.8490
2,2483.8032,1611.7057
3,2513.5019,1623.6320
4,2523.1519,1633.3744
5,2532.7709,1637.4991
6,2537.7785,1634.5373
7,2551.8151,1643.5204
8,2563.2987,1648.6891
9,2585.1314,1662.0560
10,2590.3406,1670.5520
11,2617.9328,1686.7525
12,2613.5503,1691.3348
13,2614.3404,1691.0925
14,2607.1479,1695.5042
15,2609.7254,1701.5712
16,2630.7569,1712.8727
17,2665.4044,1716.5536
18,2706.8187,1748.5785
19,2760.3814,1773.2095
20,2816.7019,1797.1796
21,2852.8744,1816.7567
22,2883.1073,1845.2579
23,2918.5630,1851.7522
24,2935.8949,1875.8223
25,2955.1545,1897.5446
26,2992.4345,1906.5643
27,3029.1088,1933.8452
28,3057.3435,1948.3777
29,3078.1693,1967.0495
30,3094.8005,1975.5453
31,3093.9451,1972.6715
32,3074.4294,1947.2500
33,3060.3187,1945.2272
34,3066.3104,1950.7459
35,3084.4225,1964.9535
36,3111.4728,1980.6648
37,3160.3040,2003.4095
38,3210.7679,2038.2491
39,3247.4375,2064.8058
40,3280.8821,2087.1474
41,3319.9007,2103.5655
42,3352.3033,2126.1776
43,3397.6375,2145.2650
44,3433.4056,2167.1378
45,3495.7436,2194.3210
46,3553.7194,2218.0192
47,3597.4282,2247.4592
48,3640.9067,2274.1814
49,3653.8390,2276.6663
50,3639.0748,2272.7198
51,3639.6878,2285.9308
52,3627.1044,2282.9645
53,3629.5930,2297.1569
54,3646.9400,2298.9151
55,3680.9151,2312.1617
56,3700.1778,2323.3804
57,3744.7134,2351.3272
58,3770.0370,2368.3105
59,3775.7521,2360.3060
60,3815.7900,2374.4934
