quarter,gdp,consumption
1,3512.2083,2369.1886
2,3535.2079,2370.5703
3,3546.3409,2383.8755
4,3559.9231,2395.2868
5,3567.3595,2405.6180
6,3598.6606,2419.0967
7,3611.3643,2430.0215
8,3637.5253,2446.9831
9,3665.5380,2475.6988
10,3720.1273,2510.4063
11,3768.2686,2527.7141
12,3815.0964,2569.9393
13,3864.6116,2608.5325
14,3912.4936,2636.2789
15,3947.5011,2668.3989
16,3980.3624,2678.0711
17,3994.6821,2687.1111
18,4014.4605,2704.8897
19,4017.9883,2692.3296
20,4028.8797,2710.6656
21,4055.8509,2734.2322
22,4060.5776,2734.1165
23,4078.0755,2750.8111
24,4114.8548,2760.7459
25,4120.8644,2782.6796
26,4153.9296,2797.8778
27,4170.6507,2822.3095
28,4171.7837,2818.6449
29,4176.7681,2819.9481
30,4170.7846,2848.5094
31,4202.8923,2869.0714
32,4227.0263,2875.6583
33,4253.9286,2893.4893
34,4324.6516,2926.7683
35,4361.6634,2968.2143
36,4421.9453,2997.3789
37,4484.1883,3035.1416
38,4555.8870,3053.0928
39,4608.8901,3092.2002
40,4651.9829,3125.0739
41,4681.7864,3141.8186
42,4710.4235,3159.9470
43,4755.5875,3196.7557
44,4778.2895,3223.5148
45,4816.3365,3244.7153
46,4880.6124,3274.9940
47,4915.5590,3319.4335
48,4958.6596,3336.6687
49,4992.8798,3362.3439
50,5005.8422,3391.0751
51,5018.0968,3389.6150
52,5031.4890,3388.5936
53,5022.2000,3379.9211
54,5033.5658,3394.9489
55,5042.4326,3401.1146
56,5058.5047,3412.2003
57,5115.5020,3445.8114
58,5149.6752,3463.3789
59,5224.7625,3500.3091
60,5290.7282,3548.5691
